vertices,neighbours,initial_pos,player_id,map_id
"(16, 396)","[(36, 396)]",16.0,ww,1.0
"(36, 396)","[(16, 396), (56, 396)]",396.0,,
"(56, 396)","[(36, 396), (76, 396)]",,,
"(76, 396)","[(76, 416), (56, 396)]",,,
"(76, 416)","[(76, 436), (76, 396)]",,,
"(76, 436)","[(76, 456), (76, 416)]",,,
"(76, 456)","[(76, 436), (76, 476)]",,,
"(76, 476)","[(76, 456), (76, 496)]",,,
"(76, 496)","[(76, 516), (76, 476)]",,,
"(76, 516)","[(76, 536), (76, 496)]",,,
"(76, 536)","[(76, 516), (76, 556)]",,,
"(76, 556)","[(76, 536), (76, 576)]",,,
"(76, 576)","[(76, 596), (76, 556)]",,,
"(76, 596)","[(96, 596), (76, 576)]",,,
"(96, 596)","[(76, 596), (116, 596)]",,,
"(116, 596)","[(96, 596), (136, 596)]",,,
"(136, 596)","[(156, 596), (116, 596)]",,,
"(156, 596)","[(176, 596), (136, 596)]",,,
"(176, 596)","[(156, 596), (196, 596)]",,,
"(196, 596)","[(176, 596), (216, 596)]",,,
"(216, 596)","[(236, 596), (196, 596)]",,,
"(236, 596)","[(256, 596), (216, 596)]",,,
"(256, 596)","[(256, 576), (236, 596), (256, 616)]",,,
"(256, 616)","[(256, 596), (256, 636)]",,,
"(256, 636)","[(256, 656), (256, 616)]",,,
"(256, 656)","[(256, 676), (256, 636)]",,,
"(256, 676)","[(256, 656), (256, 696)]",,,
"(256, 696)","[(256, 676), (256, 716)]",,,
"(256, 716)","[(276, 716), (256, 736), (256, 696)]",,,
"(276, 716)","[(296, 716), (256, 716)]",,,
"(296, 716)","[(276, 716), (316, 716)]",,,
"(316, 716)","[(296, 716), (336, 716)]",,,
"(336, 716)","[(336, 736), (316, 716)]",,,
"(336, 736)","[(356, 736), (336, 716)]",,,
"(356, 736)","[(336, 736), (376, 736)]",,,
"(376, 736)","[(356, 736), (396, 736)]",,,
"(396, 736)","[(416, 736), (376, 736)]",,,
"(416, 736)","[(436, 736), (396, 736)]",,,
"(436, 736)","[(416, 736), (456, 736)]",,,
"(456, 736)","[(436, 736), (476, 736)]",,,
