vertices,neighbours,initial_pos,player_id,map_id
"(16, 396)","[(16, 376)]",16.0,w,1.0
"(16, 376)","[(36, 376), (16, 396)]",396.0,,
"(36, 376)","[(56, 376), (16, 376)]",,,
"(56, 376)","[(36, 376), (76, 376)]",,,
"(76, 376)","[(56, 376), (96, 376)]",,,
"(96, 376)","[(96, 396), (76, 376)]",,,
"(96, 396)","[(96, 416), (96, 376)]",,,
"(96, 416)","[(96, 396), (96, 436)]",,,
"(96, 436)","[(96, 416), (96, 456)]",,,
"(96, 456)","[(96, 476), (96, 436)]",,,
"(96, 476)","[(96, 496), (96, 456)]",,,
"(96, 496)","[(96, 476), (96, 516)]",,,
"(96, 516)","[(96, 496), (96, 536)]",,,
"(96, 536)","[(96, 556), (96, 516)]",,,
"(96, 556)","[(96, 576), (96, 536)]",,,
"(96, 576)","[(96, 556), (116, 576)]",,,
"(116, 576)","[(96, 576), (136, 576)]",,,
"(136, 576)","[(156, 576), (116, 576)]",,,
"(156, 576)","[(176, 576), (136, 576)]",,,
"(176, 576)","[(156, 576), (176, 556)]",,,
"(176, 556)","[(176, 576), (176, 536)]",,,
"(176, 536)","[(176, 516), (176, 556)]",,,
"(176, 516)","[(176, 496), (176, 536)]",,,
"(176, 496)","[(176, 516), (196, 496)]",,,
"(196, 496)","[(176, 496), (216, 496)]",,,
"(216, 496)","[(236, 496), (196, 496)]",,,
"(236, 496)","[(256, 496), (216, 496)]",,,
"(256, 496)","[(256, 516), (236, 496), (256, 476)]",,,
"(256, 476)","[(256, 496), (256, 456)]",,,
"(256, 456)","[(276, 456), (256, 436), (256, 476)]",,,
"(276, 456)","[(296, 456), (256, 456)]",,,
"(256, 436)","[(256, 456), (256, 416)]",,,
"(256, 416)","[(256, 396), (256, 436)]",,,
"(256, 396)","[(256, 376), (256, 416)]",,,
"(256, 376)","[(236, 376), (256, 356), (256, 396)]",,,
"(236, 376)","[(256, 376), (216, 376)]",,,
"(216, 376)","[(236, 376), (196, 376)]",,,
"(196, 376)","[(216, 376)]",,,
"(256, 356)","[(256, 376), (256, 336)]",,,
"(256, 336)","[(256, 356), (256, 316)]",,,
"(256, 316)","[(256, 296), (256, 336)]",,,
"(256, 296)","[(256, 316), (256, 276)]",,,
"(256, 276)","[(256, 296), (256, 256)]",,,
"(256, 256)","[(256, 236), (256, 276)]",,,
