vertices,neighbours,initial_pos,player_id,map_id
"(16, 396)","[(36, 396)]",16.0,Jessica,1.0
"(36, 396)","[(16, 396), (56, 396), (36, 376), (36, 416)]",396.0,,
"(56, 396)","[(36, 396), (56, 376), (76, 396), (56, 416)]",,,
"(76, 396)","[(96, 396), (76, 376), (56, 396), (76, 416)]",,,
"(76, 416)","[(76, 396), (76, 436), (56, 416)]",,,
"(76, 376)","[(76, 396), (76, 356)]",,,
"(76, 356)","[(56, 356), (76, 376)]",,,
"(56, 356)","[(36, 356), (56, 376), (76, 356)]",,,
"(56, 376)","[(56, 356), (56, 396), (36, 376)]",,,
"(56, 416)","[(36, 416), (56, 436), (56, 396), (76, 416)]",,,
"(76, 436)","[(56, 436), (76, 416)]",,,
"(56, 436)","[(76, 436), (56, 416), (56, 456)]",,,
"(36, 416)","[(36, 396), (56, 416)]",,,
"(36, 376)","[(36, 396), (56, 376), (36, 356)]",,,
"(36, 356)","[(56, 356), (36, 376), (36, 336)]",,,
"(36, 336)","[(36, 356), (56, 336)]",,,
"(56, 336)","[(76, 336), (36, 336)]",,,
"(76, 336)","[(56, 336), (96, 336)]",,,
"(96, 336)","[(76, 336), (96, 356)]",,,
"(96, 356)","[(96, 376), (96, 336)]",,,
"(96, 376)","[(96, 396), (96, 356)]",,,
"(96, 396)","[(76, 396), (96, 376)]",,,
"(56, 456)","[(56, 476), (56, 436)]",,,
"(56, 476)","[(76, 476), (56, 456)]",,,
"(76, 476)","[(56, 476), (76, 496)]",,,
"(76, 496)","[(76, 476), (76, 516)]",,,
"(76, 516)","[(76, 536), (76, 496)]",,,
"(76, 536)","[(76, 516), (56, 536), (76, 556)]",,,
"(76, 556)","[(76, 536), (96, 556)]",,,
"(96, 556)","[(116, 556), (76, 556)]",,,
"(116, 556)","[(116, 576), (96, 556)]",,,
"(116, 576)","[(116, 556), (136, 576)]",,,
"(136, 576)","[(116, 576), (156, 576)]",,,
"(156, 576)","[(176, 576), (136, 576)]",,,
"(176, 576)","[(176, 596), (156, 576), (176, 556)]",,,
"(176, 596)","[(176, 576), (196, 596)]",,,
"(196, 596)","[(176, 596), (216, 596)]",,,
"(216, 596)","[(236, 596), (196, 596)]",,,
"(236, 596)","[(256, 596), (216, 596)]",,,
"(256, 596)","[(236, 596), (256, 616), (256, 576)]",,,
"(256, 616)","[(256, 596), (256, 636)]",,,
"(256, 636)","[(256, 656), (256, 616)]",,,
"(256, 656)","[(256, 676), (256, 636)]",,,
"(256, 676)","[(256, 656), (256, 696)]",,,
"(56, 536)","[(76, 536), (56, 556)]",,,
"(56, 556)","[(56, 576), (56, 536)]",,,
"(56, 576)","[(56, 596), (56, 556)]",,,
"(56, 596)","[(56, 576), (56, 616)]",,,
"(56, 616)","[(56, 596), (56, 636)]",,,
"(56, 636)","[(56, 656), (56, 616)]",,,
"(56, 656)","[(56, 676), (56, 636)]",,,
"(56, 676)","[(56, 656), (56, 696)]",,,
"(56, 696)","[(56, 676), (56, 716)]",,,
"(56, 716)","[(56, 736), (56, 696)]",,,
"(56, 736)","[(56, 756), (56, 716)]",,,
"(56, 756)","[(56, 736), (76, 756)]",,,
"(76, 756)","[(56, 756), (96, 756)]",,,
"(96, 756)","[(116, 756), (76, 756)]",,,
"(116, 756)","[(136, 756), (96, 756)]",,,
"(136, 756)","[(116, 756), (156, 756)]",,,
"(156, 756)","[(136, 756), (176, 756)]",,,
"(176, 756)","[(196, 756), (156, 756)]",,,
"(196, 756)","[(196, 736), (176, 756)]",,,
"(196, 736)","[(196, 756), (216, 736)]",,,
"(216, 736)","[(196, 736), (216, 716)]",,,
"(216, 716)","[(236, 716), (216, 736)]",,,
"(236, 716)","[(216, 716), (256, 716)]",,,
"(256, 716)","[(236, 716), (256, 696)]",,,
"(256, 696)","[(256, 676), (256, 716)]",,,
"(176, 556)","[(176, 576), (176, 536)]",,,
"(176, 536)","[(176, 516), (176, 556)]",,,
"(176, 516)","[(176, 496), (176, 536)]",,,
"(176, 496)","[(176, 476), (176, 516), (196, 496)]",,,
"(176, 476)","[(176, 496), (176, 456)]",,,
"(176, 456)","[(176, 476), (176, 436)]",,,
"(176, 436)","[(176, 416), (176, 456)]",,,
"(176, 416)","[(176, 396), (176, 436)]",,,
"(176, 396)","[(176, 416), (176, 376)]",,,
"(176, 376)","[(176, 396), (196, 376), (176, 356)]",,,
"(176, 356)","[(176, 336), (176, 376)]",,,
"(176, 336)","[(176, 316), (176, 356)]",,,
"(176, 316)","[(176, 336), (176, 296)]",,,
"(176, 296)","[(176, 316), (176, 276)]",,,
"(176, 276)","[(176, 256), (176, 296)]",,,
"(176, 256)","[(176, 236), (176, 276), (196, 256)]",,,
"(176, 236)","[(176, 256), (176, 216)]",,,
"(176, 216)","[(176, 236), (176, 196)]",,,
"(176, 196)","[(176, 176), (176, 216)]",,,
