vertices,neighbours,initial_pos,player_id,map_id
"(16, 396)","[(36, 396)]",16.0,w,1.0
"(36, 396)","[(16, 396), (56, 396)]",396.0,,
"(56, 396)","[(76, 396), (36, 396)]",,,
"(76, 396)","[(96, 396), (56, 396)]",,,
"(96, 396)","[(76, 396), (96, 416)]",,,
"(96, 416)","[(96, 436), (96, 396)]",,,
"(96, 436)","[(96, 456), (96, 416)]",,,
"(96, 456)","[(96, 436), (96, 476)]",,,
"(96, 476)","[(96, 456), (96, 496)]",,,
"(96, 496)","[(96, 476), (96, 516)]",,,
"(96, 516)","[(96, 496), (96, 536)]",,,
"(96, 536)","[(96, 556), (96, 516)]",,,
"(96, 556)","[(96, 536), (116, 556)]",,,
"(116, 556)","[(136, 556), (96, 556)]",,,
"(136, 556)","[(156, 556), (116, 556)]",,,
"(156, 556)","[(136, 556), (156, 576)]",,,
"(156, 576)","[(156, 556), (176, 576)]",,,
"(176, 576)","[(176, 556), (176, 596)]",,,
"(176, 596)","[(176, 576), (156, 596)]",,,
"(196, 596)","[(176, 596), (216, 596)]",,,
"(216, 596)","[(236, 596), (196, 596)]",,,
"(236, 596)","[(216, 596), (256, 596)]",,,
"(256, 596)","[(236, 596), (256, 616)]",,,
"(256, 616)","[(256, 636), (256, 596)]",,,
"(256, 636)","[(256, 656), (256, 616)]",,,
"(256, 656)","[(256, 636), (256, 676)]",,,
"(256, 676)","[(256, 656), (256, 696)]",,,
"(256, 696)","[(256, 716), (256, 676)]",,,
"(256, 716)","[(276, 716), (256, 696)]",,,
"(276, 716)","[(256, 716), (296, 716)]",,,
"(296, 716)","[(276, 716), (316, 716)]",,,
"(316, 716)","[(336, 716), (296, 716)]",,,
"(336, 716)","[(336, 696), (336, 736)]",,,
"(336, 736)","[(336, 716), (336, 756)]",,,
"(336, 756)","[(316, 756), (336, 736)]",,,
"(356, 736)","[(336, 736), (376, 736)]",,,
"(376, 736)","[(356, 736), (396, 736)]",,,
"(396, 736)","[(416, 736), (376, 736)]",,,
"(416, 736)","[(436, 736), (396, 736)]",,,
"(436, 736)","[(416, 736), (436, 756)]",,,
"(456, 736)","[(436, 736), (476, 736)]",,,
"(476, 736)","[(496, 736), (456, 736)]",,,
"(496, 736)","[(496, 756), (496, 716)]",,,
"(496, 756)","[(496, 736), (476, 756)]",,,
"(496, 776)","[(476, 776), (516, 776)]",,,
"(516, 776)","[(536, 776), (496, 776)]",,,
"(536, 776)","[(556, 776), (516, 776)]",,,
"(556, 776)","[(536, 776), (576, 776)]",,,
"(576, 776)","[(596, 776), (556, 776)]",,,
"(596, 776)","[(616, 776), (576, 776)]",,,
"(616, 776)","[(596, 776), (636, 776)]",,,
"(636, 776)","[(656, 776), (616, 776)]",,,
"(656, 776)","[(676, 776), (636, 776)]",,,
"(676, 776)","[(676, 756), (696, 776)]",,,
"(476, 776)","[(456, 776), (496, 776)]",,,
"(456, 776)","[(476, 776), (436, 776)]",,,
"(436, 776)","[(456, 776), (416, 776)]",,,
"(416, 776)","[(416, 756), (436, 776)]",,,
"(416, 756)","[(416, 736), (416, 776)]",,,
"(416, 716)","[(416, 736), (416, 696)]",,,
"(416, 696)","[(416, 676), (416, 716)]",,,
"(416, 676)","[(416, 656), (416, 696)]",,,
"(416, 656)","[(416, 676), (416, 636)]",,,
"(416, 636)","[(416, 656), (416, 616)]",,,
"(416, 616)","[(416, 596), (416, 636)]",,,
"(416, 596)","[(416, 576), (416, 616)]",,,
"(416, 576)","[(416, 596), (416, 556)]",,,
"(416, 556)","[(416, 576), (416, 536)]",,,
"(416, 536)","[(416, 516), (416, 556)]",,,
"(416, 516)","[(396, 516), (416, 536)]",,,
"(396, 516)","[(416, 516), (376, 516)]",,,
"(376, 516)","[(396, 516), (356, 516)]",,,
"(356, 516)","[(376, 496), (376, 516)]",,,
"(376, 496)","[(376, 476), (356, 516)]",,,
"(376, 476)","[(356, 476), (396, 476)]",,,
"(396, 476)","[(416, 476), (376, 476)]",,,
"(416, 476)","[(436, 476), (396, 476)]",,,
"(436, 476)","[(416, 476), (416, 476)]",,,
"(356, 476)","[(336, 476), (376, 476)]",,,
"(336, 476)","[(336, 496), (316, 476)]",,,
"(336, 496)","[(336, 516), (336, 476)]",,,
"(336, 516)","[(336, 496), (336, 536)]",,,
"(316, 476)","[(296, 476), (336, 476)]",,,
"(296, 476)","[(276, 476), (316, 476)]",,,
"(276, 476)","[(296, 476), (256, 476)]",,,
"(256, 476)","[(256, 496), (276, 476)]",,,
"(256, 456)","[(256, 476), (256, 436)]",,,
"(256, 436)","[(256, 416), (256, 456)]",,,
"(256, 416)","[(256, 436), (256, 396)]",,,
"(256, 396)","[(256, 416), (256, 376)]",,,
"(256, 376)","[(256, 356), (236, 376)]",,,
"(236, 376)","[(216, 376), (256, 376)]",,,
"(216, 376)","[(236, 376), (236, 376)]",,,
"(256, 356)","[(256, 336), (256, 376)]",,,
"(256, 336)","[(256, 356), (256, 316)]",,,
"(256, 316)","[(256, 336), (256, 296)]",,,
"(256, 296)","[(256, 276), (256, 316)]",,,
"(256, 276)","[(256, 256), (256, 296)]",,,
"(256, 256)","[(256, 276), (256, 236)]",,,
"(256, 236)","[(256, 256), (256, 216)]",,,
"(256, 216)","[(256, 196), (256, 236)]",,,
"(256, 196)","[(256, 176), (256, 216)]",,,
"(256, 176)","[(256, 196), (256, 156)]",,,
"(256, 156)","[(256, 176), (256, 136)]",,,
"(256, 136)","[(256, 116), (256, 156)]",,,
"(256, 116)","[(256, 96), (256, 136)]",,,
"(256, 96)","[(256, 116), (256, 76)]",,,
"(256, 76)","[(256, 96), (256, 56)]",,,
"(256, 56)","[(236, 56), (276, 56)]",,,
"(236, 56)","[(256, 56), (216, 56)]",,,
"(216, 56)","[(236, 56), (196, 56)]",,,
"(196, 56)","[(176, 56), (216, 56)]",,,
"(176, 56)","[(176, 76), (196, 56)]",,,
"(176, 76)","[(176, 56), (176, 96)]",,,
"(176, 96)","[(176, 76), (176, 116)]",,,
"(176, 116)","[(176, 96), (176, 96)]",,,
"(276, 56)","[(256, 56), (296, 56)]",,,
"(296, 56)","[(316, 56), (276, 56)]",,,
"(316, 56)","[(296, 56), (316, 76)]",,,
"(316, 76)","[(296, 76), (336, 76)]",,,
"(296, 76)","[(316, 76), (316, 76)]",,,
"(336, 76)","[(316, 76), (336, 96)]",,,
"(336, 96)","[(356, 96), (336, 116)]",,,
"(336, 116)","[(336, 136), (336, 96)]",,,
"(336, 136)","[(336, 156), (336, 116)]",,,
"(336, 156)","[(336, 136), (336, 176)]",,,
"(336, 176)","[(336, 156), (336, 156)]",,,
"(356, 96)","[(376, 96), (336, 96)]",,,
"(376, 96)","[(356, 96), (396, 96)]",,,
"(396, 96)","[(376, 96), (416, 96)]",,,
"(416, 96)","[(416, 116), (396, 96)]",,,
"(416, 116)","[(416, 136), (416, 96)]",,,
"(416, 136)","[(416, 156), (416, 116)]",,,
"(416, 156)","[(416, 136), (416, 176)]",,,
"(416, 176)","[(416, 156), (416, 196)]",,,
"(416, 196)","[(416, 176), (416, 216)]",,,
"(416, 216)","[(416, 236), (416, 196)]",,,
"(416, 236)","[(416, 256), (416, 216)]",,,
"(416, 256)","[(416, 276), (416, 236)]",,,
"(416, 276)","[(416, 296), (416, 256)]",,,
"(416, 296)","[(416, 276), (416, 316)]",,,
"(416, 316)","[(416, 336), (416, 296)]",,,
"(416, 336)","[(416, 356), (416, 316)]",,,
"(416, 356)","[(416, 376), (416, 336)]",,,
"(416, 376)","[(416, 396), (416, 356)]",,,
"(416, 396)","[(416, 376), (416, 416)]",,,
"(416, 416)","[(416, 396), (416, 436)]",,,
"(416, 436)","[(416, 416), (436, 436)]",,,
"(436, 436)","[(416, 436), (456, 436)]",,,
"(456, 436)","[(476, 436), (436, 436)]",,,
"(476, 436)","[(456, 436), (476, 456)]",,,
"(476, 456)","[(476, 436), (496, 456)]",,,
"(496, 456)","[(496, 476), (476, 456)]",,,
"(496, 476)","[(496, 496), (496, 456)]",,,
"(496, 496)","[(496, 476), (496, 516)]",,,
"(496, 516)","[(496, 536), (496, 496)]",,,
"(496, 536)","[(516, 536), (496, 556)]",,,
"(496, 556)","[(496, 576), (496, 536)]",,,
"(516, 556)","[(496, 556), (536, 556)]",,,
"(536, 556)","[(516, 556), (556, 556)]",,,
"(556, 556)","[(536, 556), (576, 556)]",,,
"(576, 556)","[(556, 556), (576, 576)]",,,
"(576, 576)","[(576, 596), (576, 556)]",,,
"(576, 596)","[(576, 576), (576, 616)]",,,
"(576, 616)","[(576, 636), (576, 596)]",,,
"(576, 636)","[(576, 656), (576, 616)]",,,
"(576, 656)","[(576, 636), (576, 676)]",,,
"(576, 676)","[(576, 656), (576, 696)]",,,
"(576, 696)","[(576, 676), (576, 716)]",,,
"(576, 716)","[(576, 736), (576, 696)]",,,
"(576, 736)","[(576, 756), (576, 716)]",,,
"(576, 756)","[(576, 736), (596, 756)]",,,
"(596, 756)","[(576, 756), (616, 756)]",,,
"(616, 756)","[(636, 756), (596, 756)]",,,
"(636, 756)","[(656, 756), (616, 756)]",,,
"(656, 756)","[(676, 756), (636, 756)]",,,
"(676, 756)","[(676, 776), (656, 756)]",,,
"(696, 776)","[(676, 776), (696, 756)]",,,
"(696, 756)","[(696, 736), (696, 776)]",,,
"(696, 736)","[(696, 756), (676, 736)]",,,
"(676, 736)","[(656, 736), (696, 736)]",,,
"(656, 736)","[(656, 716), (676, 736)]",,,
"(656, 716)","[(656, 736), (656, 696)]",,,
"(656, 696)","[(656, 716), (656, 676)]",,,
"(656, 676)","[(656, 656), (656, 696)]",,,
"(656, 656)","[(656, 636), (656, 676)]",,,
"(656, 636)","[(656, 656), (656, 616)]",,,
"(656, 616)","[(676, 616), (656, 636)]",,,
"(676, 616)","[(656, 616), (696, 616)]",,,
"(696, 616)","[(676, 616), (716, 616)]",,,
"(716, 616)","[(736, 616), (696, 616)]",,,
"(736, 616)","[(736, 596), (736, 636)]",,,
"(736, 636)","[(736, 616), (736, 656)]",,,
"(736, 656)","[(736, 676), (736, 636)]",,,
"(736, 676)","[(736, 696), (736, 656)]",,,
"(736, 696)","[(736, 676), (736, 716)]",,,
"(736, 716)","[(736, 696), (736, 736)]",,,
"(736, 736)","[(756, 736), (736, 716)]",,,
"(736, 756)","[(736, 776), (736, 736)]",,,
"(736, 776)","[(736, 756), (756, 776)]",,,
"(756, 776)","[(736, 776), (776, 776)]",,,
"(776, 776)","[(776, 756), (756, 776)]",,,
"(776, 756)","[(776, 736), (776, 776)]",,,
"(776, 736)","[(776, 756), (756, 736)]",,,
"(756, 736)","[(736, 736), (776, 736)]",,,
"(736, 596)","[(736, 616), (736, 576)]",,,
"(736, 576)","[(736, 596), (736, 556)]",,,
"(736, 556)","[(736, 576), (756, 556)]",,,
"(756, 556)","[(736, 556), (756, 536)]",,,
"(756, 536)","[(756, 516), (756, 556)]",,,
"(756, 516)","[(756, 536), (756, 496)]",,,
"(756, 496)","[(736, 496), (756, 516)]",,,
"(736, 496)","[(736, 476), (756, 496)]",,,
"(736, 476)","[(736, 456), (736, 496)]",,,
"(736, 456)","[(736, 476), (736, 436)]",,,
"(736, 436)","[(736, 456), (736, 416)]",,,
"(736, 416)","[(736, 436), (736, 396)]",,,
"(736, 396)","[(736, 376), (736, 416)]",,,
"(736, 376)","[(736, 396), (736, 356)]",,,
"(736, 356)","[(736, 376), (736, 336)]",,,
"(736, 336)","[(736, 316), (736, 356)]",,,
"(736, 316)","[(756, 316), (736, 296)]",,,
"(756, 316)","[(736, 316), (736, 316)]",,,
"(736, 296)","[(736, 316), (736, 276)]",,,
"(736, 276)","[(736, 256), (736, 296)]",,,
"(736, 256)","[(736, 236), (736, 276)]",,,
"(736, 236)","[(736, 256), (736, 216)]",,,
"(736, 216)","[(736, 196), (716, 216)]",,,
"(736, 196)","[(736, 216), (736, 176)]",,,
"(736, 176)","[(736, 156), (736, 196)]",,,
"(736, 156)","[(736, 136), (736, 176)]",,,
"(736, 136)","[(736, 116), (736, 156)]",,,
"(736, 116)","[(736, 96), (736, 136)]",,,
"(736, 96)","[(736, 116), (736, 76)]",,,
"(736, 76)","[(736, 96), (736, 56)]",,,
"(736, 56)","[(736, 76), (736, 76)]",,,
"(716, 216)","[(696, 216), (736, 216)]",,,
"(696, 216)","[(716, 216), (676, 216)]",,,
"(676, 216)","[(656, 216), (696, 216)]",,,
"(656, 216)","[(656, 196), (676, 216)]",,,
"(656, 196)","[(656, 216), (656, 176)]",,,
"(656, 176)","[(656, 196), (656, 156)]",,,
"(656, 156)","[(656, 136), (656, 176)]",,,
"(656, 136)","[(656, 116), (656, 156)]",,,
"(656, 116)","[(656, 96), (656, 136)]",,,
"(656, 96)","[(656, 116), (656, 76)]",,,
"(656, 76)","[(656, 56), (636, 76)]",,,
"(656, 56)","[(656, 76), (656, 76)]",,,
"(636, 76)","[(656, 76), (616, 76)]",,,
"(616, 76)","[(596, 76), (636, 76)]",,,
"(596, 76)","[(576, 76), (616, 76)]",,,
"(576, 76)","[(576, 96), (576, 56)]",,,
"(576, 56)","[(576, 36), (576, 76)]",,,
"(576, 36)","[(576, 56), (576, 56)]",,,
"(576, 96)","[(576, 116), (576, 76)]",,,
"(576, 116)","[(576, 96), (556, 116)]",,,
"(556, 116)","[(536, 116), (576, 116)]",,,
"(536, 116)","[(516, 116), (556, 116)]",,,
"(516, 116)","[(496, 116), (536, 116)]",,,
"(496, 116)","[(496, 136), (496, 96)]",,,
"(496, 96)","[(496, 76), (496, 116)]",,,
"(496, 76)","[(496, 56), (496, 96)]",,,
"(496, 56)","[(496, 76), (496, 36)]",,,
"(496, 36)","[(496, 56), (496, 16)]",,,
"(496, 16)","[(496, 36), (496, 36)]",,,
"(496, 136)","[(516, 136), (496, 116)]",,,
"(516, 136)","[(536, 136), (496, 136)]",,,
"(536, 136)","[(556, 136), (516, 136)]",,,
"(556, 136)","[(536, 136), (576, 136)]",,,
"(576, 136)","[(556, 136), (576, 156)]",,,
"(576, 156)","[(576, 176), (576, 136)]",,,
"(576, 176)","[(576, 196), (576, 156)]",,,
"(576, 196)","[(576, 176), (576, 216)]",,,
"(576, 216)","[(576, 236), (576, 196)]",,,
"(576, 236)","[(576, 216), (596, 236)]",,,
"(596, 236)","[(576, 236), (616, 236)]",,,
"(616, 236)","[(636, 236), (596, 236)]",,,
"(636, 236)","[(656, 236), (616, 236)]",,,
"(656, 236)","[(656, 256), (636, 236)]",,,
"(656, 256)","[(656, 236), (636, 256)]",,,
"(636, 256)","[(656, 256), (616, 256)]",,,
"(616, 256)","[(596, 256), (636, 256)]",,,
"(596, 256)","[(596, 276), (616, 256)]",,,
"(596, 276)","[(596, 256), (576, 276)]",,,
"(576, 276)","[(596, 276), (576, 296)]",,,
"(576, 296)","[(576, 316), (576, 276)]",,,
"(576, 316)","[(576, 336), (576, 296)]",,,
"(576, 336)","[(576, 316), (576, 356)]",,,
"(576, 356)","[(576, 376), (576, 336)]",,,
"(576, 376)","[(576, 356), (576, 396)]",,,
"(576, 396)","[(576, 416), (576, 376)]",,,
"(576, 416)","[(596, 416), (576, 436)]",,,
"(596, 416)","[(576, 416), (616, 416)]",,,
"(616, 416)","[(636, 416), (596, 416)]",,,
"(636, 416)","[(616, 416), (656, 416)]",,,
"(656, 416)","[(656, 396), (636, 416)]",,,
"(656, 396)","[(656, 376), (656, 416)]",,,
"(656, 376)","[(656, 396), (656, 356)]",,,
"(656, 356)","[(656, 376), (656, 376)]",,,
"(576, 436)","[(576, 456), (576, 416)]",,,
"(576, 456)","[(576, 476), (576, 436)]",,,
"(576, 476)","[(576, 496), (576, 456)]",,,
"(576, 496)","[(576, 516), (576, 476)]",,,
"(576, 516)","[(576, 536), (576, 496)]",,,
"(576, 536)","[(576, 516), (556, 536)]",,,
