vertices,neighbours,initial_pos,player_id,map_id
"(16, 396)","[(36, 396)]",16.0,qq,1.0
"(36, 396)","[(16, 396), (56, 396)]",396.0,,
"(56, 396)","[(36, 396), (76, 396)]",,,
"(76, 396)","[(96, 396), (56, 396)]",,,
"(96, 396)","[(96, 416), (76, 396)]",,,
"(96, 416)","[(96, 436), (96, 396)]",,,
"(96, 436)","[(96, 416), (96, 456)]",,,
"(96, 456)","[(96, 436), (96, 476)]",,,
"(96, 476)","[(96, 496), (96, 456)]",,,
"(96, 496)","[(96, 516), (96, 476)]",,,
"(96, 516)","[(96, 496), (96, 536)]",,,
"(96, 536)","[(96, 516), (96, 556)]",,,
"(96, 556)","[(116, 556), (96, 536)]",,,
"(116, 556)","[(136, 556), (96, 556)]",,,
"(136, 556)","[(116, 556), (156, 556)]",,,
"(156, 556)","[(136, 556), (176, 556)]",,,
"(176, 556)","[(176, 536), (156, 556)]",,,
"(176, 536)","[(176, 516), (176, 556)]",,,
"(176, 516)","[(176, 536), (176, 496)]",,,
"(176, 496)","[(176, 516), (176, 476)]",,,
"(176, 476)","[(176, 456), (176, 496)]",,,
"(176, 456)","[(176, 436), (176, 476)]",,,
"(176, 436)","[(176, 456), (176, 416)]",,,
"(176, 416)","[(176, 436), (176, 396)]",,,
"(176, 396)","[(176, 376), (176, 416)]",,,
"(176, 376)","[(196, 376), (176, 396)]",,,
"(196, 376)","[(176, 376), (216, 376)]",,,
"(216, 376)","[(196, 376), (236, 376)]",,,
"(236, 376)","[(256, 376), (216, 376)]",,,
"(256, 376)","[(256, 356), (236, 376), (256, 396)]",,,
"(256, 356)","[(256, 376), (256, 336)]",,,
"(256, 336)","[(256, 356), (256, 316)]",,,
"(256, 316)","[(256, 296), (256, 336)]",,,
"(256, 296)","[(256, 316), (256, 276)]",,,
"(256, 276)","[(256, 296), (256, 256)]",,,
"(256, 256)","[(256, 236), (236, 256), (256, 276)]",,,
"(256, 236)","[(256, 256), (256, 216)]",,,
"(256, 216)","[(256, 236), (256, 196)]",,,
"(256, 196)","[(256, 176), (256, 216)]",,,
"(256, 176)","[(256, 156), (256, 196)]",,,
"(256, 156)","[(256, 176), (256, 136)]",,,
"(256, 136)","[(256, 156), (256, 116)]",,,
"(256, 116)","[(256, 96), (256, 136)]",,,
"(256, 96)","[(256, 76), (256, 116)]",,,
"(256, 76)","[(256, 96), (256, 56), (276, 76)]",,,
"(276, 76)","[(256, 76), (296, 76)]",,,
"(296, 76)","[(316, 76), (276, 76)]",,,
"(316, 76)","[(336, 76), (296, 76)]",,,
"(336, 76)","[(316, 76), (336, 96)]",,,
"(336, 96)","[(336, 76)]",,,
"(256, 56)","[(256, 76), (236, 56)]",,,
"(236, 56)","[(216, 56), (256, 56)]",,,
"(216, 56)","[(236, 56), (196, 56)]",,,
"(196, 56)","[(216, 56), (176, 56)]",,,
"(176, 56)","[(176, 76), (196, 56)]",,,
"(176, 76)","[(176, 96), (176, 56)]",,,
"(176, 96)","[(176, 76), (176, 116)]",,,
"(176, 116)","[(176, 96), (176, 136)]",,,
"(176, 136)","[(176, 156), (176, 116)]",,,
"(176, 156)","[(176, 176), (176, 136)]",,,
"(176, 176)","[(176, 156), (176, 196)]",,,
"(176, 196)","[(176, 176), (176, 216)]",,,
"(176, 216)","[(176, 236), (176, 196)]",,,
"(176, 236)","[(176, 256), (176, 216)]",,,
"(176, 256)","[(176, 236), (196, 256)]",,,
"(196, 256)","[(176, 256), (216, 256)]",,,
"(216, 256)","[(236, 256), (196, 256)]",,,
"(236, 256)","[(256, 256), (216, 256)]",,,
"(256, 396)","[(256, 416), (256, 376)]",,,
"(256, 416)","[(256, 396), (256, 436)]",,,
"(256, 436)","[(256, 416), (256, 456)]",,,
"(256, 456)","[(256, 476), (256, 436)]",,,
"(256, 476)","[(256, 496), (256, 456)]",,,
"(256, 496)","[(256, 476), (256, 516)]",,,
"(256, 516)","[(256, 496), (256, 536)]",,,
"(256, 536)","[(256, 556), (256, 516)]",,,
"(256, 556)","[(256, 576), (256, 536)]",,,
"(256, 576)","[(256, 556), (256, 596)]",,,
"(256, 596)","[(256, 616), (256, 576)]",,,
"(256, 616)","[(256, 636), (256, 596)]",,,
"(256, 636)","[(256, 656), (256, 616)]",,,
"(256, 656)","[(256, 636), (256, 676)]",,,
"(256, 676)","[(256, 656), (256, 696)]",,,
"(256, 696)","[(256, 716), (256, 676)]",,,
"(256, 716)","[(276, 716), (256, 696)]",,,
"(276, 716)","[(256, 716), (296, 716)]",,,
"(296, 716)","[(276, 716), (316, 716), (296, 736)]",,,
"(316, 716)","[(336, 716), (296, 716)]",,,
"(336, 716)","[(336, 696), (336, 736), (316, 716)]",,,
"(296, 736)","[(296, 756), (296, 716)]",,,
"(296, 756)","[(296, 776), (296, 736)]",,,
"(296, 776)","[(316, 776), (296, 756)]",,,
"(316, 776)","[(316, 756), (296, 776)]",,,
"(316, 756)","[(316, 776), (316, 736)]",,,
"(316, 736)","[(316, 756), (336, 736)]",,,
"(336, 736)","[(336, 756), (356, 736), (336, 716), (316, 736)]",,,
"(356, 736)","[(376, 736), (336, 736)]",,,
"(376, 736)","[(356, 736), (396, 736)]",,,
"(396, 736)","[(376, 736), (416, 736)]",,,
"(416, 736)","[(436, 736), (396, 736)]",,,
"(436, 736)","[(456, 736), (416, 736)]",,,
"(456, 736)","[(436, 736), (476, 736)]",,,
"(476, 736)","[(456, 736), (476, 756)]",,,
"(476, 756)","[(476, 776), (476, 736)]",,,
"(476, 776)","[(496, 776), (476, 756)]",,,
"(496, 776)","[(476, 776), (516, 776)]",,,
"(516, 776)","[(496, 776), (536, 776)]",,,
"(536, 776)","[(556, 776), (516, 776)]",,,
"(556, 776)","[(576, 776), (536, 776)]",,,
"(576, 776)","[(556, 776), (596, 776)]",,,
"(596, 776)","[(576, 776), (616, 776)]",,,
"(616, 776)","[(636, 776), (596, 776)]",,,
"(636, 776)","[(656, 776), (616, 776)]",,,
"(656, 776)","[(636, 776), (676, 776)]",,,
"(676, 776)","[(656, 776), (696, 776)]",,,
"(696, 776)","[(716, 776), (676, 776)]",,,
"(716, 776)","[(696, 776), (736, 776)]",,,
"(736, 776)","[(716, 776), (736, 756)]",,,
"(736, 756)","[(736, 736), (736, 776)]",,,
"(736, 736)","[(736, 756), (736, 716)]",,,
"(736, 716)","[(736, 736), (736, 696)]",,,
"(736, 696)","[(736, 676), (736, 716)]",,,
"(736, 676)","[(736, 656), (736, 696)]",,,
"(736, 656)","[(736, 676), (736, 636)]",,,
"(736, 636)","[(736, 656), (736, 616)]",,,
"(736, 616)","[(736, 596), (736, 636)]",,,
"(736, 596)","[(736, 576), (736, 616)]",,,
"(736, 576)","[(716, 576), (736, 596), (736, 556)]",,,
"(736, 556)","[(736, 576), (736, 536)]",,,
"(736, 536)","[(736, 516), (736, 556)]",,,
"(736, 516)","[(736, 496), (736, 536)]",,,
"(736, 496)","[(736, 516), (736, 476)]",,,
"(736, 476)","[(736, 496), (736, 456)]",,,
"(736, 456)","[(736, 436), (736, 476)]",,,
"(736, 436)","[(736, 416), (736, 456)]",,,
"(736, 416)","[(736, 436), (736, 396)]",,,
"(736, 396)","[(736, 416), (736, 376)]",,,
"(736, 376)","[(736, 356), (736, 396)]",,,
"(736, 356)","[(736, 336), (736, 376)]",,,
"(736, 336)","[(736, 356), (736, 316)]",,,
"(736, 316)","[(736, 336), (756, 316)]",,,
"(756, 316)","[(736, 316)]",,,
"(716, 576)","[(736, 576), (696, 576)]",,,
"(696, 576)","[(716, 576), (676, 576)]",,,
"(676, 576)","[(696, 576), (656, 576)]",,,
"(656, 576)","[(636, 576), (676, 576)]",,,
"(636, 576)","[(616, 576), (656, 576)]",,,
"(616, 576)","[(636, 576), (596, 576)]",,,
"(596, 576)","[(616, 576), (576, 576)]",,,
"(576, 576)","[(576, 556), (596, 576)]",,,
"(576, 556)","[(576, 536), (576, 576)]",,,
"(576, 536)","[(576, 556), (576, 516)]",,,
"(576, 516)","[(576, 536), (576, 496)]",,,
"(576, 496)","[(576, 476), (576, 516)]",,,
"(576, 476)","[(576, 456), (576, 496)]",,,
"(576, 456)","[(576, 476), (576, 436)]",,,
"(576, 436)","[(576, 456), (576, 416)]",,,
"(576, 416)","[(576, 396), (576, 436)]",,,
"(576, 396)","[(576, 416), (576, 376)]",,,
"(576, 376)","[(576, 396), (556, 376)]",,,
"(556, 376)","[(536, 376), (576, 376)]",,,
"(536, 376)","[(556, 376), (516, 376)]",,,
"(516, 376)","[(536, 376), (496, 376)]",,,
"(496, 376)","[(496, 356), (516, 376)]",,,
"(496, 356)","[(496, 336), (496, 376)]",,,
"(496, 336)","[(496, 356), (476, 336)]",,,
"(476, 336)","[(496, 336), (456, 336)]",,,
"(456, 336)","[(436, 336), (476, 336)]",,,
"(436, 336)","[(416, 336), (456, 336)]",,,
"(416, 336)","[(416, 356), (436, 336), (416, 316)]",,,
"(416, 316)","[(416, 336)]",,,
"(416, 356)","[(416, 336), (416, 376)]",,,
"(416, 376)","[(416, 396), (416, 356)]",,,
"(416, 396)","[(416, 376), (416, 416)]",,,
"(416, 416)","[(416, 396), (416, 436)]",,,
"(416, 436)","[(416, 456), (416, 416)]",,,
"(416, 456)","[(416, 476), (416, 436)]",,,
"(416, 476)","[(396, 476), (416, 456), (436, 476)]",,,
"(436, 476)","[(416, 476)]",,,
"(396, 476)","[(416, 476), (376, 476)]",,,
"(376, 476)","[(356, 476), (396, 476)]",,,
"(356, 476)","[(376, 476), (356, 496)]",,,
"(356, 496)","[(356, 476), (356, 516)]",,,
"(356, 516)","[(336, 516), (356, 496)]",,,
"(336, 516)","[(336, 536), (356, 516)]",,,
"(336, 536)","[(336, 516), (336, 556)]",,,
"(336, 556)","[(336, 536), (336, 576)]",,,
"(336, 576)","[(336, 596), (336, 556)]",,,
"(336, 596)","[(336, 616), (336, 576)]",,,
"(336, 616)","[(336, 596), (336, 636)]",,,
"(336, 636)","[(336, 616), (336, 656)]",,,
"(336, 656)","[(336, 676), (336, 636)]",,,
"(336, 676)","[(336, 696), (336, 656)]",,,
"(336, 696)","[(336, 676), (336, 716)]",,,
"(336, 756)","[(336, 776), (336, 736)]",,,
"(336, 776)","[(356, 776), (336, 756)]",,,
"(356, 776)","[(376, 776), (336, 776)]",,,
"(376, 776)","[(356, 776), (396, 776)]",,,
"(396, 776)","[(376, 776)]",,,
