vertices,neighbours,initial_pos,player_id,map_id
"(16, 396)","[(16, 416)]",16.0,w,1.0
"(16, 416)","[(16, 436), (16, 396)]",396.0,,
"(16, 436)","[(16, 456), (16, 416)]",,,
"(16, 456)","[(16, 436), (16, 476)]",,,
"(16, 476)","[(16, 456), (36, 476)]",,,
"(36, 476)","[(36, 496), (16, 476)]",,,
"(36, 496)","[(36, 516), (36, 476)]",,,
"(36, 516)","[(36, 496), (56, 516)]",,,
"(56, 516)","[(36, 516), (76, 516)]",,,
"(76, 516)","[(76, 536), (56, 516)]",,,
"(76, 536)","[(76, 556), (76, 516)]",,,
"(76, 556)","[(76, 536), (76, 576)]",,,
"(76, 576)","[(76, 556), (76, 596)]",,,
"(76, 596)","[(76, 616), (76, 576)]",,,
"(76, 616)","[(96, 616), (76, 596)]",,,
"(96, 616)","[(76, 616), (96, 596)]",,,
"(96, 596)","[(96, 616), (116, 596)]",,,
"(116, 596)","[(136, 596), (96, 596)]",,,
"(136, 596)","[(156, 596), (116, 596)]",,,
"(156, 596)","[(136, 596), (176, 596)]",,,
"(176, 596)","[(156, 596), (176, 616)]",,,
"(176, 616)","[(176, 636), (176, 596)]",,,
"(176, 636)","[(176, 656), (176, 616)]",,,
"(176, 656)","[(176, 636), (176, 676)]",,,
"(176, 676)","[(176, 656), (176, 696)]",,,
"(176, 696)","[(176, 716), (176, 676)]",,,
"(176, 716)","[(196, 716), (176, 696)]",,,
"(196, 716)","[(176, 716), (216, 716)]",,,
"(216, 716)","[(196, 716), (236, 716)]",,,
"(236, 716)","[(256, 716), (216, 716)]",,,
"(256, 716)","[(236, 716), (276, 716), (256, 696)]",,,
"(256, 696)","[(256, 716), (256, 676)]",,,
"(256, 676)","[(256, 696)]",,,
"(276, 716)","[(256, 716), (296, 716)]",,,
"(296, 716)","[(276, 716), (316, 716)]",,,
"(316, 716)","[(336, 716), (296, 716)]",,,
"(336, 716)","[(336, 736), (336, 696), (316, 716)]",,,
"(336, 736)","[(336, 756), (336, 716), (356, 736)]",,,
"(356, 736)","[(336, 736), (376, 736)]",,,
"(376, 736)","[(396, 736), (356, 736)]",,,
"(396, 736)","[(416, 736), (376, 736)]",,,
