obstacle,obstacle_type,treasure,fragment,difficulty
"(120, 220, 40, 40)",rock,"(650, 590, 40, 20)","(670, 170, 20, 20)",4.0
"(120, 480, 40, 40)",rock,"(270, 770, 40, 20)","(330, 30, 20, 20)",
"(120, 340, 40, 40)",river,"(230, 530, 40, 20)","(650, 130, 20, 20)",
"(120, 620, 40, 120)",river,"(650, 630, 40, 20)","(730, 650, 20, 20)",
"(120, 100, 40, 80)",river,,"(330, 750, 20, 20)",
"(120, 380, 40, 80)",rock,,"(250, 350, 20, 20)",
"(120, 300, 40, 40)",rock,,"(250, 210, 20, 20)",
"(120, 580, 40, 40)",river,,"(570, 30, 20, 20)",
"(200, 160, 40, 80)",rock,,"(170, 590, 20, 20)",
"(200, 560, 40, 40)",rock,,"(650, 570, 20, 20)",
"(200, 640, 40, 40)",river,,"(430, 470, 20, 20)",
"(200, 80, 40, 40)",river,,"(490, 630, 20, 20)",
"(200, 20, 40, 40)",river,,,
"(200, 360, 40, 80)",rock,,,
"(200, 460, 40, 40)",rock,,,
"(200, 280, 40, 40)",rock,,,
"(280, 180, 40, 40)",river,,,
"(280, 520, 40, 40)",rock,,,
"(280, 360, 40, 80)",rock,,,
"(280, 280, 40, 40)",rock,,,
"(280, 640, 40, 120)",river,,,
"(280, 580, 40, 40)",river,,,
"(280, 320, 40, 40)",river,,,
"(280, 60, 40, 40)",rock,,,
"(360, 600, 40, 120)",river,,,
"(360, 120, 40, 80)",river,,,
"(360, 60, 40, 40)",river,,,
"(360, 520, 40, 40)",rock,,,
"(360, 280, 40, 40)",rock,,,
"(360, 380, 40, 80)",rock,,,
"(360, 340, 40, 40)",river,,,
"(360, 20, 40, 40)",river,,,
"(440, 240, 40, 80)",rock,,,
"(440, 420, 40, 40)",rock,,,
"(440, 600, 40, 120)",river,,,
"(440, 160, 40, 80)",rock,,,
"(440, 520, 40, 80)",river,,,
"(440, 340, 40, 40)",river,,,
"(440, 120, 40, 40)",rock,,,
"(440, 20, 40, 80)",river,,,
"(520, 40, 40, 80)",river,,,
"(520, 460, 40, 120)",river,,,
"(520, 300, 40, 120)",river,,,
"(520, 120, 40, 80)",river,,,
"(520, 620, 40, 80)",rock,,,
"(520, 700, 40, 40)",rock,,,
"(520, 220, 40, 40)",rock,,,
"(520, 0, 40, 40)",river,,,
"(600, 20, 40, 80)",rock,,,
"(600, 520, 40, 120)",river,,,
"(600, 100, 40, 40)",river,,,
"(600, 280, 40, 40)",river,,,
"(600, 680, 40, 80)",river,,,
"(600, 420, 40, 40)",rock,,,
"(600, 200, 40, 80)",rock,,,
"(600, 360, 40, 40)",river,,,
"(680, 120, 40, 40)",river,,,
"(680, 40, 40, 80)",rock,,,
"(680, 0, 40, 40)",river,,,
"(680, 660, 40, 40)",rock,,,
"(680, 360, 40, 40)",rock,,,
"(680, 460, 40, 120)",river,,,
"(680, 700, 40, 80)",river,,,
"(680, 260, 40, 40)",rock,,,
"(760, 640, 40, 40)",rock,,,
"(760, 0, 40, 40)",river,,,
"(760, 140, 40, 40)",river,,,
"(760, 300, 40, 40)",river,,,
"(760, 460, 40, 40)",rock,,,
"(760, 60, 40, 80)",rock,,,
"(760, 700, 40, 80)",rock,,,
"(760, 400, 40, 40)",river,,,
"(840, 220, 40, 120)",river,,,
"(840, 120, 40, 40)",river,,,
"(840, 380, 40, 40)",rock,,,
"(840, 460, 40, 120)",river,,,
"(840, 340, 40, 40)",rock,,,
"(840, 600, 40, 40)",rock,,,
"(840, 180, 40, 40)",river,,,
"(840, 420, 40, 40)",rock,,,
