obstacle,obstacle_type,treasure,fragment,difficulty
"(120, 380, 40, 80)",rock,"(590, 650, 40, 20)","(650, 30, 20, 20)",4.0
"(120, 680, 40, 80)",river,"(650, 770, 40, 20)","(490, 410, 20, 20)",
"(120, 580, 40, 40)",rock,"(710, 210, 40, 20)","(350, 750, 20, 20)",
"(120, 340, 40, 40)",rock,"(550, 250, 40, 20)","(250, 670, 20, 20)",
"(120, 0, 40, 40)",rock,,"(250, 70, 20, 20)",
"(120, 140, 40, 40)",rock,,"(430, 170, 20, 20)",
"(120, 60, 40, 80)",rock,,"(390, 730, 20, 20)",
"(120, 180, 40, 120)",river,,"(350, 730, 20, 20)",
"(200, 440, 40, 40)",rock,,"(230, 630, 20, 20)",
"(200, 500, 40, 80)",rock,,"(550, 730, 20, 20)",
"(200, 280, 40, 40)",rock,,"(650, 130, 20, 20)",
"(200, 180, 40, 80)",rock,,"(250, 550, 20, 20)",
"(200, 360, 40, 80)",rock,,,
"(200, 660, 40, 80)",river,,,
"(200, 100, 40, 40)",rock,,,
"(200, 580, 40, 40)",rock,,,
"(280, 240, 40, 40)",rock,,,
"(280, 600, 40, 40)",river,,,
"(280, 80, 40, 80)",river,,,
"(280, 200, 40, 40)",rock,,,
"(280, 400, 40, 80)",rock,,,
"(280, 20, 40, 40)",rock,,,
"(280, 680, 40, 80)",river,,,
"(280, 160, 40, 40)",rock,,,
"(360, 100, 40, 80)",rock,,,
"(360, 200, 40, 40)",rock,,,
"(360, 40, 40, 40)",rock,,,
"(360, 420, 40, 120)",river,,,
"(360, 560, 40, 40)",rock,,,
"(360, 280, 40, 120)",river,,,
"(360, 660, 40, 40)",rock,,,
"(360, 600, 40, 40)",rock,,,
"(440, 480, 40, 80)",river,,,
"(440, 300, 40, 80)",rock,,,
"(440, 100, 40, 40)",river,,,
"(440, 400, 40, 80)",rock,,,
"(440, 700, 40, 80)",river,,,
"(440, 200, 40, 80)",rock,,,
"(440, 0, 40, 80)",river,,,
"(440, 560, 40, 80)",rock,,,
"(520, 480, 40, 80)",river,,,
"(520, 640, 40, 80)",river,,,
"(520, 200, 40, 40)",rock,,,
"(520, 380, 40, 80)",rock,,,
"(520, 20, 40, 40)",rock,,,
"(520, 120, 40, 40)",river,,,
"(520, 80, 40, 40)",rock,,,
"(520, 280, 40, 40)",river,,,
"(600, 420, 40, 120)",river,,,
"(600, 160, 40, 40)",rock,,,
"(600, 680, 40, 80)",rock,,,
"(600, 540, 40, 80)",rock,,,
"(600, 80, 40, 80)",rock,,,
"(600, 280, 40, 40)",river,,,
"(600, 200, 40, 40)",river,,,
"(600, 20, 40, 40)",rock,,,
"(680, 280, 40, 40)",rock,,,
"(680, 660, 40, 80)",rock,,,
"(680, 420, 40, 80)",rock,,,
"(680, 520, 40, 80)",rock,,,
"(680, 40, 40, 80)",rock,,,
"(680, 120, 40, 80)",rock,,,
"(680, 340, 40, 80)",river,,,
"(680, 0, 40, 40)",rock,,,
"(760, 220, 40, 80)",rock,,,
"(760, 380, 40, 80)",river,,,
"(760, 500, 40, 80)",rock,,,
"(760, 40, 40, 80)",rock,,,
"(760, 580, 40, 40)",rock,,,
"(760, 700, 40, 40)",rock,,,
"(760, 120, 40, 40)",rock,,,
"(760, 300, 40, 80)",rock,,,
"(840, 460, 40, 80)",rock,,,
"(840, 260, 40, 80)",rock,,,
"(840, 40, 40, 80)",river,,,
"(840, 560, 40, 80)",rock,,,
"(840, 120, 40, 120)",river,,,
"(840, 340, 40, 120)",river,,,
"(840, 0, 40, 40)",rock,,,
"(840, 660, 40, 40)",rock,,,
