obstacle,obstacle_type,treasure,fragment,difficulty
"(200, 260, 120, 360)",river,"(590, 530, 40, 20)","(330, 770, 20, 20)",2.0
"(200, 40, 120, 120)",rock,"(510, 610, 40, 20)","(490, 490, 20, 20)",
"(360, 360, 120, 240)",rock,,"(650, 550, 20, 20)",
"(360, 120, 120, 240)",river,,"(250, 770, 20, 20)",
"(360, 640, 120, 120)",river,,"(710, 30, 20, 20)",
"(520, 220, 120, 240)",rock,,"(650, 270, 20, 20)",
"(520, 680, 120, 120)",rock,,,
"(520, 40, 120, 120)",rock,,,
"(680, 360, 120, 120)",rock,,,
"(680, 620, 120, 360)",river,,,
"(680, 100, 120, 120)",river,,,
"(680, 500, 120, 120)",rock,,,
"(840, 400, 120, 120)",rock,,,
"(840, 520, 120, 120)",rock,,,
"(840, 0, 120, 240)",rock,,,
