obstacle,obstacle_type,treasure,fragment,difficulty
"(200, 160, 120, 120)",river,"(390, 250, 40, 20)","(390, 50, 20, 20)",2.0
"(200, 20, 120, 120)",rock,"(590, 770, 40, 20)","(610, 30, 20, 20)",
"(200, 520, 120, 120)",rock,,"(530, 70, 20, 20)",
"(200, 680, 120, 120)",rock,,"(430, 270, 20, 20)",
"(360, 700, 120, 120)",rock,,"(530, 90, 20, 20)",
"(360, 120, 120, 120)",rock,,"(550, 90, 20, 20)",
"(360, 420, 120, 120)",rock,,,
"(360, 560, 120, 120)",rock,,,
"(520, 120, 120, 360)",river,,,
"(520, 520, 120, 120)",rock,,,
"(680, 20, 120, 360)",river,,,
"(680, 640, 120, 240)",rock,,,
"(680, 460, 120, 120)",rock,,,
"(840, 220, 120, 120)",river,,,
"(840, 360, 120, 240)",rock,,,
"(840, 680, 120, 240)",rock,,,
