obstacle,obstacle_type,treasure,fragment,difficulty
"(120, 700, 40, 40)",river,"(370, 190, 40, 20)","(730, 330, 20, 20)",4.0
"(120, 400, 40, 40)",river,"(430, 410, 40, 20)","(330, 690, 20, 20)",
"(120, 360, 40, 40)",river,"(350, 770, 40, 20)","(650, 50, 20, 20)",
"(120, 100, 40, 120)",river,"(470, 730, 40, 20)","(330, 730, 20, 20)",
"(120, 280, 40, 40)",rock,,"(410, 770, 20, 20)",
"(120, 580, 40, 40)",river,,"(350, 250, 20, 20)",
"(120, 520, 40, 40)",river,,"(370, 130, 20, 20)",
"(120, 0, 40, 80)",river,,"(530, 570, 20, 20)",
"(200, 120, 40, 80)",rock,,"(330, 670, 20, 20)",
"(200, 360, 40, 40)",river,,"(650, 210, 20, 20)",
"(200, 580, 40, 40)",river,,"(510, 590, 20, 20)",
"(200, 440, 40, 40)",river,,"(490, 550, 20, 20)",
"(200, 400, 40, 40)",rock,,,
"(200, 480, 40, 80)",rock,,,
"(200, 60, 40, 40)",rock,,,
"(200, 200, 40, 80)",rock,,,
"(280, 360, 40, 40)",river,,,
"(280, 180, 40, 80)",river,,,
"(280, 500, 40, 40)",rock,,,
"(280, 20, 40, 40)",river,,,
"(280, 420, 40, 40)",river,,,
"(280, 300, 40, 40)",rock,,,
"(280, 460, 40, 40)",rock,,,
"(280, 60, 40, 120)",river,,,
"(360, 400, 40, 40)",river,,,
"(360, 580, 40, 40)",river,,,
"(360, 540, 40, 40)",river,,,
"(360, 300, 40, 80)",river,,,
"(360, 440, 40, 40)",rock,,,
"(360, 480, 40, 40)",river,,,
"(360, 680, 40, 80)",river,,,
"(360, 0, 40, 80)",river,,,
"(440, 320, 40, 80)",river,,,
"(440, 520, 40, 80)",river,,,
"(440, 120, 40, 40)",rock,,,
"(440, 600, 40, 40)",river,,,
"(440, 460, 40, 40)",rock,,,
"(440, 640, 40, 40)",river,,,
"(440, 160, 40, 120)",river,,,
"(440, 60, 40, 40)",rock,,,
"(520, 260, 40, 120)",river,,,
"(520, 640, 40, 80)",rock,,,
"(520, 480, 40, 80)",rock,,,
"(520, 180, 40, 80)",river,,,
"(520, 40, 40, 40)",rock,,,
"(520, 80, 40, 40)",rock,,,
"(520, 0, 40, 40)",river,,,
"(600, 60, 40, 80)",rock,,,
"(600, 360, 40, 40)",rock,,,
"(600, 580, 40, 40)",rock,,,
"(600, 500, 40, 40)",rock,,,
"(600, 620, 40, 40)",river,,,
"(600, 420, 40, 40)",rock,,,
"(600, 660, 40, 120)",river,,,
"(600, 200, 40, 80)",rock,,,
"(680, 360, 40, 80)",rock,,,
"(680, 660, 40, 80)",rock,,,
"(680, 20, 40, 40)",river,,,
"(680, 460, 40, 120)",river,,,
"(680, 620, 40, 40)",river,,,
"(680, 240, 40, 120)",river,,,
"(680, 120, 40, 80)",river,,,
"(680, 60, 40, 40)",river,,,
"(760, 540, 40, 40)",rock,,,
"(760, 600, 40, 80)",rock,,,
"(760, 80, 40, 40)",rock,,,
"(760, 340, 40, 120)",river,,,
"(760, 700, 40, 40)",rock,,,
"(760, 180, 40, 40)",rock,,,
"(760, 460, 40, 80)",rock,,,
"(760, 220, 40, 120)",river,,,
"(840, 560, 40, 40)",rock,,,
"(840, 240, 40, 80)",rock,,,
"(840, 420, 40, 80)",river,,,
"(840, 340, 40, 40)",river,,,
"(840, 700, 40, 80)",rock,,,
"(840, 60, 40, 80)",rock,,,
"(840, 660, 40, 40)",rock,,,
"(840, 160, 40, 40)",rock,,,
