obstacle,obstacle_type,treasure,fragment,difficulty
"(120, 380, 40, 120)",river,"(230, 230, 40, 20)","(690, 770, 20, 20)",4.0
"(120, 560, 40, 80)",river,"(210, 570, 40, 20)","(330, 50, 20, 20)",
"(120, 120, 40, 80)",river,"(610, 410, 40, 20)","(170, 670, 20, 20)",
"(120, 260, 40, 40)",rock,"(270, 330, 40, 20)","(570, 570, 20, 20)",
"(120, 20, 40, 80)",river,,"(690, 210, 20, 20)",
"(120, 660, 40, 120)",river,,"(490, 390, 20, 20)",
"(120, 340, 40, 40)",river,,"(490, 570, 20, 20)",
"(120, 200, 40, 40)",river,,"(170, 310, 20, 20)",
"(200, 360, 40, 120)",river,,"(170, 330, 20, 20)",
"(200, 160, 40, 40)",river,,"(250, 750, 20, 20)",
"(200, 520, 40, 40)",rock,,"(630, 610, 20, 20)",
"(200, 680, 40, 80)",river,,"(330, 710, 20, 20)",
"(200, 640, 40, 40)",river,,,
"(200, 600, 40, 40)",river,,,
"(200, 40, 40, 40)",rock,,,
"(200, 260, 40, 40)",rock,,,
"(280, 420, 40, 40)",river,,,
"(280, 200, 40, 40)",rock,,,
"(280, 20, 40, 40)",rock,,,
"(280, 580, 40, 80)",rock,,,
"(280, 280, 40, 40)",rock,,,
"(280, 700, 40, 40)",river,,,
"(280, 240, 40, 40)",rock,,,
"(280, 520, 40, 40)",rock,,,
"(360, 60, 40, 80)",rock,,,
"(360, 260, 40, 80)",river,,,
"(360, 200, 40, 40)",rock,,,
"(360, 540, 40, 120)",river,,,
"(360, 340, 40, 120)",river,,,
"(360, 460, 40, 40)",river,,,
"(360, 660, 40, 40)",rock,,,
"(360, 700, 40, 80)",river,,,
"(440, 520, 40, 120)",river,,,
"(440, 280, 40, 80)",river,,,
"(440, 200, 40, 40)",river,,,
"(440, 640, 40, 80)",rock,,,
"(440, 40, 40, 40)",rock,,,
"(440, 100, 40, 80)",rock,,,
"(440, 460, 40, 40)",river,,,
"(440, 380, 40, 40)",rock,,,
"(520, 600, 40, 120)",river,,,
"(520, 420, 40, 80)",river,,,
"(520, 320, 40, 40)",rock,,,
"(520, 500, 40, 40)",rock,,,
"(520, 20, 40, 80)",river,,,
"(520, 180, 40, 80)",river,,,
"(520, 540, 40, 40)",rock,,,
"(520, 100, 40, 40)",river,,,
"(600, 680, 40, 80)",rock,,,
"(600, 440, 40, 40)",river,,,
"(600, 220, 40, 80)",river,,,
"(600, 480, 40, 80)",rock,,,
"(600, 640, 40, 40)",rock,,,
"(600, 300, 40, 80)",river,,,
"(600, 100, 40, 120)",river,,,
"(600, 20, 40, 80)",river,,,
"(680, 240, 40, 120)",river,,,
"(680, 460, 40, 80)",river,,,
"(680, 60, 40, 40)",river,,,
"(680, 20, 40, 40)",river,,,
"(680, 360, 40, 40)",river,,,
"(680, 400, 40, 40)",rock,,,
"(680, 120, 40, 40)",river,,,
"(680, 680, 40, 80)",river,,,
"(760, 380, 40, 80)",rock,,,
"(760, 520, 40, 80)",river,,,
"(760, 300, 40, 80)",rock,,,
"(760, 180, 40, 40)",rock,,,
"(760, 600, 40, 120)",river,,,
"(760, 40, 40, 80)",rock,,,
"(760, 220, 40, 80)",river,,,
"(760, 480, 40, 40)",rock,,,
"(840, 660, 40, 40)",rock,,,
"(840, 360, 40, 80)",river,,,
"(840, 20, 40, 40)",river,,,
"(840, 280, 40, 80)",rock,,,
"(840, 80, 40, 120)",river,,,
"(840, 500, 40, 80)",river,,,
"(840, 440, 40, 40)",river,,,
"(840, 200, 40, 40)",rock,,,
