obstacle,obstacle_type,treasure,fragment,difficulty
"(120, 80, 40, 80)",rock,"(490, 330, 40, 20)","(590, 210, 20, 20)",4.0
"(120, 620, 40, 80)",rock,"(370, 370, 40, 20)","(330, 730, 20, 20)",
"(120, 220, 40, 40)",rock,"(730, 410, 40, 20)","(610, 410, 20, 20)",
"(120, 480, 40, 120)",river,"(510, 350, 40, 20)","(230, 190, 20, 20)",
"(120, 260, 40, 80)",river,,"(170, 610, 20, 20)",
"(120, 160, 40, 40)",rock,,"(230, 310, 20, 20)",
"(120, 700, 40, 40)",river,,"(410, 370, 20, 20)",
"(120, 360, 40, 40)",river,,"(330, 610, 20, 20)",
"(200, 80, 40, 40)",river,,"(250, 750, 20, 20)",
"(200, 580, 40, 40)",river,,"(170, 150, 20, 20)",
"(200, 620, 40, 40)",rock,,"(630, 190, 20, 20)",
"(200, 440, 40, 40)",rock,,"(150, 50, 20, 20)",
"(200, 220, 40, 40)",river,,,
"(200, 700, 40, 80)",river,,,
"(200, 40, 40, 40)",rock,,,
"(200, 140, 40, 40)",rock,,,
"(280, 180, 40, 40)",river,,,
"(280, 380, 40, 40)",rock,,,
"(280, 80, 40, 80)",river,,,
"(280, 440, 40, 120)",river,,,
"(280, 640, 40, 40)",rock,,,
"(280, 240, 40, 80)",rock,,,
"(280, 680, 40, 80)",rock,,,
"(280, 20, 40, 40)",rock,,,
"(360, 480, 40, 80)",river,,,
"(360, 160, 40, 80)",rock,,,
"(360, 560, 40, 40)",rock,,,
"(360, 640, 40, 40)",rock,,,
"(360, 260, 40, 80)",river,,,
"(360, 20, 40, 40)",rock,,,
"(360, 400, 40, 40)",rock,,,
"(360, 680, 40, 120)",river,,,
"(440, 560, 40, 40)",rock,,,
"(440, 420, 40, 120)",river,,,
"(440, 140, 40, 40)",rock,,,
"(440, 220, 40, 80)",rock,,,
"(440, 80, 40, 40)",rock,,,
"(440, 300, 40, 120)",river,,,
"(440, 680, 40, 120)",river,,,
"(440, 0, 40, 80)",river,,,
"(520, 380, 40, 80)",rock,,,
"(520, 140, 40, 120)",river,,,
"(520, 40, 40, 80)",rock,,,
"(520, 700, 40, 80)",river,,,
"(520, 280, 40, 40)",rock,,,
"(520, 560, 40, 80)",rock,,,
"(520, 660, 40, 40)",river,,,
"(520, 520, 40, 40)",rock,,,
"(600, 300, 40, 40)",rock,,,
"(600, 260, 40, 40)",rock,,,
"(600, 560, 40, 40)",rock,,,
"(600, 480, 40, 40)",river,,,
"(600, 20, 40, 120)",river,,,
"(600, 680, 40, 40)",river,,,
"(600, 140, 40, 40)",rock,,,
"(600, 620, 40, 40)",rock,,,
"(680, 140, 40, 40)",rock,,,
"(680, 180, 40, 40)",rock,,,
"(680, 340, 40, 40)",rock,,,
"(680, 560, 40, 120)",river,,,
"(680, 0, 40, 80)",rock,,,
"(680, 520, 40, 40)",rock,,,
"(680, 680, 40, 80)",river,,,
"(680, 220, 40, 80)",river,,,
"(760, 320, 40, 40)",rock,,,
"(760, 480, 40, 40)",river,,,
"(760, 80, 40, 80)",rock,,,
"(760, 280, 40, 40)",rock,,,
"(760, 0, 40, 80)",rock,,,
"(760, 180, 40, 40)",river,,,
"(760, 560, 40, 80)",rock,,,
"(760, 660, 40, 40)",river,,,
"(840, 120, 40, 40)",rock,,,
"(840, 640, 40, 40)",river,,,
"(840, 280, 40, 80)",rock,,,
"(840, 80, 40, 40)",river,,,
"(840, 520, 40, 40)",rock,,,
"(840, 460, 40, 40)",rock,,,
"(840, 180, 40, 40)",rock,,,
"(840, 220, 40, 40)",rock,,,
