obstacle,obstacle_type,treasure,fragment,difficulty
"(200, 220, 120, 360)",river,"(670, 50, 40, 20)","(710, 590, 20, 20)",2.0
"(200, 580, 120, 240)",rock,"(730, 470, 40, 20)","(370, 90, 20, 20)",
"(360, 620, 120, 120)",rock,,"(550, 210, 20, 20)",
"(360, 340, 120, 240)",rock,,"(330, 370, 20, 20)",
"(520, 540, 120, 120)",rock,,"(350, 90, 20, 20)",
"(520, 240, 120, 240)",rock,,"(290, 70, 20, 20)",
"(520, 700, 120, 240)",river,,,
"(520, 40, 120, 120)",rock,,,
"(680, 340, 120, 120)",river,,,
"(680, 660, 120, 120)",river,,,
"(680, 180, 120, 120)",rock,,,
"(840, 320, 120, 120)",river,,,
"(840, 700, 120, 120)",river,,,
