obstacle,obstacle_type,treasure,fragment,difficulty
"(200, 20, 120, 360)",river,"(430, 190, 40, 20)","(430, 390, 20, 20)",2.0
"(200, 660, 120, 240)",rock,"(250, 530, 40, 20)","(490, 650, 20, 20)",
"(360, 460, 120, 120)",rock,,"(470, 750, 20, 20)",
"(360, 580, 120, 120)",rock,,"(430, 770, 20, 20)",
"(360, 240, 120, 120)",river,,"(590, 130, 20, 20)",
"(520, 240, 120, 360)",river,,"(470, 430, 20, 20)",
"(520, 640, 120, 120)",river,,,
"(680, 380, 120, 120)",river,,,
"(680, 520, 120, 240)",river,,,
"(680, 120, 120, 240)",river,,,
"(840, 0, 120, 240)",rock,,,
"(840, 380, 120, 240)",river,,,
