obstacle,obstacle_type,treasure,fragment,difficulty
"(200, 440, 120, 240)",river,"(270, 50, 40, 20)","(330, 150, 20, 20)",2.0
"(200, 700, 120, 120)",rock,"(490, 190, 40, 20)","(410, 50, 20, 20)",
"(200, 180, 120, 120)",rock,,"(670, 50, 20, 20)",
"(200, 300, 120, 120)",river,,"(450, 70, 20, 20)",
"(360, 480, 120, 120)",rock,,"(330, 610, 20, 20)",
"(360, 220, 120, 240)",rock,,"(650, 730, 20, 20)",
"(360, 680, 120, 360)",river,,,
"(360, 100, 120, 120)",river,,,
"(520, 500, 120, 120)",rock,,,
"(520, 260, 120, 240)",rock,,,
"(520, 700, 120, 240)",rock,,,
"(520, 60, 120, 120)",rock,,,
"(680, 660, 120, 240)",river,,,
"(680, 80, 120, 120)",rock,,,
"(680, 260, 120, 240)",river,,,
"(680, 520, 120, 120)",rock,,,
"(840, 660, 120, 240)",rock,,,
"(840, 520, 120, 120)",river,,,
"(840, 280, 120, 120)",rock,,,
"(840, 0, 120, 120)",river,,,
