obstacle,obstacle_type,treasure,fragment,difficulty
"(120, 420, 40, 120)",river,"(570, 630, 40, 20)","(250, 170, 20, 20)",4.0
"(120, 680, 40, 80)",rock,"(170, 70, 40, 20)","(490, 90, 20, 20)",
"(120, 160, 40, 80)",river,"(310, 130, 40, 20)","(410, 30, 20, 20)",
"(120, 360, 40, 40)",rock,"(450, 290, 40, 20)","(650, 450, 20, 20)",
"(120, 20, 40, 80)",river,,"(510, 30, 20, 20)",
"(120, 540, 40, 80)",rock,,"(490, 510, 20, 20)",
"(120, 240, 40, 120)",river,,"(770, 90, 20, 20)",
"(120, 640, 40, 40)",rock,,"(490, 150, 20, 20)",
"(200, 560, 40, 120)",river,,"(210, 210, 20, 20)",
"(200, 400, 40, 80)",rock,,"(330, 570, 20, 20)",
"(200, 680, 40, 80)",river,,"(330, 90, 20, 20)",
"(200, 100, 40, 80)",rock,,"(710, 30, 20, 20)",
"(200, 20, 40, 40)",rock,,,
"(200, 260, 40, 40)",rock,,,
"(200, 480, 40, 40)",river,,,
"(200, 320, 40, 40)",river,,,
"(280, 420, 40, 40)",rock,,,
"(280, 280, 40, 80)",river,,,
"(280, 220, 40, 40)",rock,,,
"(280, 660, 40, 40)",rock,,,
"(280, 20, 40, 80)",river,,,
"(280, 360, 40, 40)",rock,,,
"(280, 180, 40, 40)",rock,,,
"(280, 460, 40, 80)",river,,,
"(360, 500, 40, 80)",rock,,,
"(360, 140, 40, 80)",rock,,,
"(360, 340, 40, 40)",river,,,
"(360, 20, 40, 120)",river,,,
"(360, 220, 40, 120)",river,,,
"(360, 660, 40, 80)",rock,,,
"(360, 400, 40, 40)",rock,,,
"(360, 600, 40, 40)",river,,,
"(440, 20, 40, 120)",river,,,
"(440, 160, 40, 120)",river,,,
"(440, 400, 40, 120)",river,,,
"(440, 660, 40, 40)",rock,,,
"(440, 600, 40, 40)",river,,,
"(440, 320, 40, 80)",rock,,,
"(440, 520, 40, 40)",rock,,,
"(440, 700, 40, 120)",river,,,
"(520, 120, 40, 40)",rock,,,
"(520, 560, 40, 80)",rock,,,
"(520, 160, 40, 80)",river,,,
"(520, 300, 40, 80)",rock,,,
"(520, 700, 40, 120)",river,,,
"(520, 240, 40, 40)",river,,,
"(520, 480, 40, 40)",rock,,,
"(520, 640, 40, 40)",rock,,,
"(600, 700, 40, 80)",rock,,,
"(600, 240, 40, 120)",river,,,
"(600, 660, 40, 40)",river,,,
"(600, 540, 40, 40)",river,,,
"(600, 460, 40, 40)",river,,,
"(600, 120, 40, 80)",rock,,,
"(600, 20, 40, 80)",river,,,
"(600, 200, 40, 40)",river,,,
"(680, 320, 40, 80)",rock,,,
"(680, 700, 40, 40)",rock,,,
"(680, 220, 40, 80)",river,,,
"(680, 640, 40, 40)",river,,,
"(680, 600, 40, 40)",rock,,,
"(680, 520, 40, 80)",rock,,,
"(680, 60, 40, 40)",rock,,,
"(680, 120, 40, 40)",river,,,
"(760, 460, 40, 40)",rock,,,
"(760, 120, 40, 40)",rock,,,
"(760, 520, 40, 40)",rock,,,
"(760, 40, 40, 40)",rock,,,
"(760, 240, 40, 80)",rock,,,
"(760, 620, 40, 120)",river,,,
"(760, 360, 40, 80)",rock,,,
"(760, 560, 40, 40)",rock,,,
"(840, 420, 40, 80)",rock,,,
"(840, 80, 40, 40)",rock,,,
"(840, 640, 40, 40)",river,,,
"(840, 500, 40, 120)",river,,,
"(840, 380, 40, 40)",rock,,,
"(840, 300, 40, 80)",river,,,
"(840, 180, 40, 40)",rock,,,
"(840, 240, 40, 40)",river,,,
