obstacle,obstacle_type,treasure,fragment,difficulty
"(200, 340, 120, 120)",river,"(690, 150, 40, 20)","(270, 570, 20, 20)",2.0
"(200, 600, 120, 360)",river,"(730, 490, 40, 20)","(610, 370, 20, 20)",
"(200, 80, 120, 120)",rock,,"(450, 30, 20, 20)",
"(360, 680, 120, 240)",rock,,"(450, 370, 20, 20)",
"(360, 100, 120, 240)",river,,"(630, 770, 20, 20)",
"(360, 420, 120, 240)",rock,,"(590, 110, 20, 20)",
"(520, 240, 120, 120)",rock,,,
"(520, 520, 120, 240)",river,,,
"(680, 200, 120, 240)",rock,,,
"(680, 520, 120, 120)",river,,,
"(840, 200, 120, 240)",river,,,
"(840, 700, 120, 240)",river,,,
"(840, 440, 120, 120)",river,,,
