obstacle,obstacle_type,treasure,fragment,difficulty
"(120, 280, 40, 40)",rock,"(230, 390, 40, 20)","(650, 410, 20, 20)",4.0
"(120, 120, 40, 80)",rock,"(690, 310, 40, 20)","(490, 350, 20, 20)",
"(120, 320, 40, 40)",rock,"(190, 690, 40, 20)","(170, 370, 20, 20)",
"(120, 540, 40, 40)",river,"(350, 730, 40, 20)","(250, 650, 20, 20)",
"(120, 620, 40, 80)",rock,,"(650, 610, 20, 20)",
"(120, 360, 40, 80)",rock,,"(630, 350, 20, 20)",
"(120, 200, 40, 80)",rock,,"(710, 330, 20, 20)",
"(120, 700, 40, 80)",rock,,"(570, 690, 20, 20)",
"(200, 320, 40, 40)",rock,,"(650, 550, 20, 20)",
"(200, 440, 40, 80)",rock,,"(370, 770, 20, 20)",
"(200, 600, 40, 80)",rock,,"(630, 270, 20, 20)",
"(200, 220, 40, 80)",rock,,"(310, 650, 20, 20)",
"(200, 180, 40, 40)",rock,,,
"(200, 40, 40, 80)",river,,,
"(200, 520, 40, 80)",river,,,
"(200, 140, 40, 40)",river,,,
"(280, 240, 40, 80)",rock,,,
"(280, 600, 40, 40)",river,,,
"(280, 400, 40, 80)",rock,,,
"(280, 20, 40, 40)",rock,,,
"(280, 160, 40, 40)",rock,,,
"(280, 680, 40, 120)",river,,,
"(280, 200, 40, 40)",river,,,
"(280, 520, 40, 40)",rock,,,
"(360, 80, 40, 40)",rock,,,
"(360, 180, 40, 120)",river,,,
"(360, 480, 40, 40)",river,,,
"(360, 300, 40, 40)",river,,,
"(360, 600, 40, 40)",rock,,,
"(360, 380, 40, 80)",rock,,,
"(360, 640, 40, 40)",rock,,,
"(360, 520, 40, 40)",rock,,,
"(440, 700, 40, 40)",river,,,
"(440, 220, 40, 40)",rock,,,
"(440, 460, 40, 120)",river,,,
"(440, 620, 40, 40)",rock,,,
"(440, 40, 40, 80)",rock,,,
"(440, 140, 40, 40)",river,,,
"(440, 340, 40, 80)",rock,,,
"(440, 0, 40, 40)",rock,,,
"(520, 660, 40, 40)",rock,,,
"(520, 400, 40, 80)",rock,,,
"(520, 520, 40, 80)",rock,,,
"(520, 20, 40, 80)",river,,,
"(520, 200, 40, 120)",river,,,
"(520, 100, 40, 40)",river,,,
"(520, 480, 40, 40)",river,,,
"(520, 700, 40, 80)",river,,,
"(600, 160, 40, 80)",rock,,,
"(600, 20, 40, 120)",river,,,
"(600, 300, 40, 40)",rock,,,
"(600, 440, 40, 80)",river,,,
"(600, 700, 40, 80)",river,,,
"(600, 600, 40, 40)",rock,,,
"(600, 640, 40, 40)",river,,,
"(600, 560, 40, 40)",rock,,,
"(680, 600, 40, 80)",rock,,,
"(680, 160, 40, 40)",rock,,,
"(680, 240, 40, 40)",river,,,
"(680, 20, 40, 120)",river,,,
"(680, 360, 40, 80)",river,,,
"(680, 520, 40, 80)",river,,,
"(680, 700, 40, 80)",rock,,,
"(680, 480, 40, 40)",river,,,
"(760, 500, 40, 80)",rock,,,
"(760, 20, 40, 40)",river,,,
"(760, 460, 40, 40)",rock,,,
"(760, 120, 40, 40)",rock,,,
"(760, 360, 40, 80)",rock,,,
"(760, 660, 40, 80)",rock,,,
"(760, 220, 40, 120)",river,,,
"(760, 620, 40, 40)",river,,,
"(840, 180, 40, 80)",river,,,
"(840, 700, 40, 80)",river,,,
"(840, 60, 40, 40)",rock,,,
"(840, 300, 40, 120)",river,,,
"(840, 120, 40, 40)",river,,,
"(840, 620, 40, 40)",rock,,,
"(840, 540, 40, 80)",river,,,
"(840, 440, 40, 40)",rock,,,
