obstacle,obstacle_type,treasure,fragment,difficulty
"(200, 260, 120, 360)",river,"(390, 250, 40, 20)","(370, 190, 20, 20)",2.0
"(200, 640, 120, 120)",rock,"(310, 770, 40, 20)","(650, 490, 20, 20)",
"(200, 120, 120, 120)",rock,,"(650, 590, 20, 20)",
"(360, 300, 120, 240)",river,,"(330, 350, 20, 20)",
"(360, 580, 120, 360)",river,,"(630, 490, 20, 20)",
"(520, 540, 120, 360)",river,,"(730, 730, 20, 20)",
"(520, 60, 120, 120)",river,,,
"(520, 180, 120, 120)",river,,,
"(680, 600, 120, 120)",river,,,
"(680, 140, 120, 240)",rock,,,
"(840, 440, 120, 120)",rock,,,
"(840, 40, 120, 120)",rock,,,
"(840, 560, 120, 120)",river,,,
