obstacle,obstacle_type,treasure,fragment,difficulty
"(200, 140, 120, 120)",river,"(590, 110, 40, 20)","(450, 750, 20, 20)",2.0
"(200, 360, 120, 240)",river,"(390, 750, 40, 20)","(270, 290, 20, 20)",
"(200, 660, 120, 120)",river,,"(350, 430, 20, 20)",
"(360, 180, 120, 120)",river,,"(450, 770, 20, 20)",
"(520, 420, 120, 240)",rock,,"(410, 130, 20, 20)",
"(520, 180, 120, 120)",rock,,"(290, 90, 20, 20)",
"(520, 660, 120, 240)",rock,,,
"(680, 380, 120, 240)",rock,,,
"(680, 0, 120, 120)",river,,,
"(680, 660, 120, 240)",river,,,
"(680, 260, 120, 120)",river,,,
"(840, 0, 120, 120)",rock,,,
"(840, 400, 120, 360)",river,,,
