obstacle,obstacle_type,treasure,fragment,difficulty
"(120, 660, 40, 80)",rock,"(650, 130, 40, 20)","(570, 610, 20, 20)",4.0
"(120, 320, 40, 80)",river,"(370, 610, 40, 20)","(310, 650, 20, 20)",
"(120, 600, 40, 40)",rock,"(630, 430, 40, 20)","(630, 450, 20, 20)",
"(120, 20, 40, 80)",river,"(270, 730, 40, 20)","(730, 210, 20, 20)",
"(120, 560, 40, 40)",rock,,"(590, 630, 20, 20)",
"(120, 120, 40, 80)",rock,,"(730, 330, 20, 20)",
"(120, 200, 40, 40)",rock,,"(730, 470, 20, 20)",
"(120, 440, 40, 80)",rock,,"(670, 590, 20, 20)",
"(200, 360, 40, 80)",rock,,"(490, 510, 20, 20)",
"(200, 580, 40, 40)",rock,,"(170, 370, 20, 20)",
"(200, 640, 40, 40)",rock,,"(710, 210, 20, 20)",
"(200, 240, 40, 80)",rock,,"(250, 710, 20, 20)",
"(200, 160, 40, 80)",rock,,,
"(200, 700, 40, 80)",rock,,,
"(200, 480, 40, 40)",rock,,,
"(200, 20, 40, 80)",river,,,
"(280, 460, 40, 40)",river,,,
"(280, 380, 40, 80)",river,,,
"(280, 560, 40, 40)",river,,,
"(280, 220, 40, 80)",river,,,
"(280, 300, 40, 80)",rock,,,
"(280, 520, 40, 40)",river,,,
"(280, 80, 40, 40)",rock,,,
"(280, 140, 40, 80)",river,,,
"(360, 180, 40, 40)",river,,,
"(360, 100, 40, 40)",rock,,,
"(360, 220, 40, 40)",river,,,
"(360, 700, 40, 80)",rock,,,
"(360, 340, 40, 80)",river,,,
"(360, 0, 40, 80)",rock,,,
"(360, 500, 40, 80)",rock,,,
"(360, 420, 40, 40)",river,,,
"(440, 500, 40, 80)",river,,,
"(440, 280, 40, 40)",rock,,,
"(440, 360, 40, 40)",rock,,,
"(440, 700, 40, 120)",river,,,
"(440, 180, 40, 40)",rock,,,
"(440, 620, 40, 40)",rock,,,
"(440, 420, 40, 40)",rock,,,
"(440, 80, 40, 40)",river,,,
"(520, 480, 40, 120)",river,,,
"(520, 160, 40, 80)",river,,,
"(520, 440, 40, 40)",river,,,
"(520, 360, 40, 80)",rock,,,
"(520, 60, 40, 80)",river,,,
"(520, 240, 40, 80)",rock,,,
"(520, 680, 40, 80)",river,,,
"(520, 0, 40, 40)",river,,,
"(600, 280, 40, 120)",river,,,
"(600, 580, 40, 40)",rock,,,
"(600, 200, 40, 80)",rock,,,
"(600, 80, 40, 80)",river,,,
"(600, 480, 40, 40)",river,,,
"(600, 20, 40, 40)",river,,,
"(600, 700, 40, 120)",river,,,
"(600, 540, 40, 40)",river,,,
"(680, 660, 40, 80)",rock,,,
"(680, 500, 40, 80)",rock,,,
"(680, 20, 40, 40)",river,,,
"(680, 260, 40, 80)",rock,,,
"(680, 440, 40, 40)",river,,,
"(680, 160, 40, 40)",river,,,
"(680, 80, 40, 40)",river,,,
"(680, 360, 40, 40)",rock,,,
"(760, 400, 40, 80)",rock,,,
"(760, 340, 40, 40)",rock,,,
"(760, 260, 40, 80)",rock,,,
"(760, 480, 40, 80)",rock,,,
"(760, 40, 40, 40)",rock,,,
"(760, 560, 40, 80)",river,,,
"(760, 200, 40, 40)",rock,,,
"(760, 100, 40, 40)",rock,,,
"(840, 220, 40, 40)",river,,,
"(840, 460, 40, 40)",rock,,,
"(840, 520, 40, 40)",river,,,
"(840, 600, 40, 40)",rock,,,
"(840, 340, 40, 80)",river,,,
"(840, 680, 40, 120)",river,,,
"(840, 120, 40, 40)",rock,,,
"(840, 0, 40, 80)",river,,,
