obstacle,obstacle_type,treasure,fragment,difficulty
"(120, 200, 40, 80)",river,"(650, 670, 40, 20)","(750, 550, 20, 20)",4.0
"(120, 580, 40, 40)",rock,"(410, 350, 40, 20)","(330, 510, 20, 20)",
"(120, 540, 40, 40)",river,"(550, 290, 40, 20)","(450, 750, 20, 20)",
"(120, 0, 40, 80)",river,"(530, 270, 40, 20)","(390, 750, 20, 20)",
"(120, 500, 40, 40)",rock,,"(770, 730, 20, 20)",
"(120, 80, 40, 40)",river,,"(270, 510, 20, 20)",
"(120, 280, 40, 80)",rock,,"(370, 770, 20, 20)",
"(120, 640, 40, 80)",river,,"(730, 750, 20, 20)",
"(200, 660, 40, 80)",rock,,"(610, 350, 20, 20)",
"(200, 420, 40, 40)",rock,,"(650, 770, 20, 20)",
"(200, 220, 40, 40)",river,,"(250, 490, 20, 20)",
"(200, 180, 40, 40)",rock,,"(370, 550, 20, 20)",
"(200, 580, 40, 40)",river,,,
"(200, 280, 40, 40)",rock,,,
"(200, 60, 40, 120)",river,,,
"(200, 520, 40, 40)",rock,,,
"(280, 20, 40, 80)",river,,,
"(280, 340, 40, 80)",river,,,
"(280, 420, 40, 40)",rock,,,
"(280, 140, 40, 120)",river,,,
"(280, 600, 40, 80)",rock,,,
"(280, 260, 40, 80)",rock,,,
"(280, 560, 40, 40)",rock,,,
"(280, 100, 40, 40)",river,,,
"(360, 420, 40, 120)",river,,,
"(360, 300, 40, 80)",rock,,,
"(360, 80, 40, 40)",river,,,
"(360, 140, 40, 120)",river,,,
"(360, 380, 40, 40)",rock,,,
"(360, 0, 40, 40)",river,,,
"(360, 640, 40, 40)",rock,,,
"(360, 580, 40, 40)",rock,,,
"(440, 660, 40, 40)",river,,,
"(440, 140, 40, 80)",rock,,,
"(440, 40, 40, 80)",rock,,,
"(440, 440, 40, 80)",rock,,,
"(440, 400, 40, 40)",river,,,
"(440, 560, 40, 80)",river,,,
"(440, 260, 40, 40)",rock,,,
"(440, 520, 40, 40)",river,,,
"(520, 180, 40, 40)",river,,,
"(520, 660, 40, 40)",rock,,,
"(520, 340, 40, 40)",rock,,,
"(520, 380, 40, 120)",river,,,
"(520, 40, 40, 80)",river,,,
"(520, 700, 40, 40)",rock,,,
"(520, 620, 40, 40)",rock,,,
"(520, 560, 40, 40)",river,,,
"(600, 20, 40, 40)",rock,,,
"(600, 440, 40, 120)",river,,,
"(600, 380, 40, 40)",rock,,,
"(600, 180, 40, 40)",rock,,,
"(600, 580, 40, 40)",rock,,,
"(600, 700, 40, 120)",river,,,
"(600, 280, 40, 40)",rock,,,
"(600, 220, 40, 40)",river,,,
"(680, 580, 40, 80)",rock,,,
"(680, 460, 40, 120)",river,,,
"(680, 280, 40, 80)",rock,,,
"(680, 20, 40, 80)",river,,,
"(680, 140, 40, 40)",rock,,,
"(680, 420, 40, 40)",river,,,
"(680, 700, 40, 80)",rock,,,
"(680, 200, 40, 80)",rock,,,
"(760, 620, 40, 80)",rock,,,
"(760, 140, 40, 80)",rock,,,
"(760, 460, 40, 40)",river,,,
"(760, 60, 40, 40)",rock,,,
"(760, 20, 40, 40)",rock,,,
"(760, 220, 40, 80)",rock,,,
"(760, 500, 40, 40)",river,,,
"(760, 380, 40, 80)",river,,,
"(840, 660, 40, 40)",rock,,,
"(840, 360, 40, 120)",river,,,
"(840, 140, 40, 40)",rock,,,
"(840, 560, 40, 80)",rock,,,
"(840, 0, 40, 120)",river,,,
"(840, 220, 40, 40)",river,,,
"(840, 520, 40, 40)",river,,,
"(840, 480, 40, 40)",river,,,
