obstacle,obstacle_type,treasure,fragment,difficulty
"(120, 640, 40, 80)",river,"(590, 490, 40, 20)","(730, 750, 20, 20)",4.0
"(120, 140, 40, 40)",rock,"(150, 290, 40, 20)","(330, 50, 20, 20)",
"(120, 560, 40, 80)",rock,"(510, 190, 40, 20)","(550, 730, 20, 20)",
"(120, 320, 40, 40)",rock,"(390, 110, 40, 20)","(230, 710, 20, 20)",
"(120, 220, 40, 40)",rock,,"(170, 590, 20, 20)",
"(120, 60, 40, 40)",rock,,"(270, 730, 20, 20)",
"(120, 480, 40, 40)",river,,"(490, 590, 20, 20)",
"(120, 380, 40, 40)",river,,"(250, 330, 20, 20)",
"(200, 160, 40, 80)",rock,,"(770, 730, 20, 20)",
"(200, 300, 40, 80)",river,,"(570, 650, 20, 20)",
"(200, 20, 40, 80)",rock,,"(670, 150, 20, 20)",
"(200, 380, 40, 40)",rock,,"(150, 30, 20, 20)",
"(200, 460, 40, 80)",rock,,,
"(200, 600, 40, 40)",rock,,,
"(200, 540, 40, 40)",river,,,
"(200, 120, 40, 40)",rock,,,
"(280, 80, 40, 80)",rock,,,
"(280, 620, 40, 80)",river,,,
"(280, 160, 40, 120)",river,,,
"(280, 500, 40, 80)",rock,,,
"(280, 440, 40, 40)",rock,,,
"(280, 320, 40, 80)",rock,,,
"(280, 40, 40, 40)",rock,,,
"(280, 0, 40, 40)",rock,,,
"(360, 680, 40, 80)",rock,,,
"(360, 400, 40, 120)",river,,,
"(360, 240, 40, 80)",river,,,
"(360, 360, 40, 40)",river,,,
"(360, 160, 40, 80)",river,,,
"(360, 40, 40, 40)",rock,,,
"(360, 520, 40, 120)",river,,,
"(360, 0, 40, 40)",river,,,
"(440, 80, 40, 40)",rock,,,
"(440, 600, 40, 40)",rock,,,
"(440, 460, 40, 120)",river,,,
"(440, 240, 40, 80)",rock,,,
"(440, 120, 40, 80)",rock,,,
"(440, 700, 40, 40)",rock,,,
"(440, 360, 40, 40)",rock,,,
"(440, 400, 40, 40)",river,,,
"(520, 600, 40, 40)",rock,,,
"(520, 640, 40, 80)",rock,,,
"(520, 0, 40, 80)",river,,,
"(520, 240, 40, 40)",river,,,
"(520, 520, 40, 40)",rock,,,
"(520, 80, 40, 40)",rock,,,
"(520, 360, 40, 80)",rock,,,
"(520, 440, 40, 80)",rock,,,
"(600, 240, 40, 80)",river,,,
"(600, 600, 40, 80)",river,,,
"(600, 80, 40, 120)",river,,,
"(600, 340, 40, 80)",rock,,,
"(600, 440, 40, 40)",rock,,,
"(600, 560, 40, 40)",rock,,,
"(600, 700, 40, 40)",river,,,
"(600, 40, 40, 40)",river,,,
"(680, 540, 40, 80)",rock,,,
"(680, 460, 40, 80)",rock,,,
"(680, 320, 40, 80)",rock,,,
"(680, 280, 40, 40)",rock,,,
"(680, 420, 40, 40)",river,,,
"(680, 660, 40, 40)",rock,,,
"(680, 0, 40, 40)",rock,,,
"(680, 60, 40, 40)",river,,,
"(760, 400, 40, 80)",river,,,
"(760, 640, 40, 80)",river,,,
"(760, 520, 40, 40)",river,,,
"(760, 100, 40, 120)",river,,,
"(760, 320, 40, 80)",rock,,,
"(760, 280, 40, 40)",rock,,,
"(760, 40, 40, 40)",river,,,
"(760, 480, 40, 40)",river,,,
"(840, 280, 40, 80)",rock,,,
"(840, 500, 40, 120)",river,,,
"(840, 660, 40, 80)",rock,,,
"(840, 140, 40, 40)",rock,,,
"(840, 240, 40, 40)",rock,,,
"(840, 420, 40, 40)",rock,,,
"(840, 0, 40, 80)",rock,,,
"(840, 460, 40, 40)",rock,,,
