obstacle,obstacle_type,treasure,fragment,difficulty
"(120, 680, 40, 80)",rock,"(230, 770, 40, 20)","(170, 430, 20, 20)",4.0
"(120, 460, 40, 40)",rock,"(270, 70, 40, 20)","(290, 470, 20, 20)",
"(120, 380, 40, 80)",river,"(650, 550, 40, 20)","(410, 250, 20, 20)",
"(120, 20, 40, 120)",river,"(390, 190, 40, 20)","(730, 610, 20, 20)",
"(120, 180, 40, 40)",rock,,"(570, 730, 20, 20)",
"(120, 520, 40, 80)",rock,,"(330, 290, 20, 20)",
"(120, 600, 40, 40)",river,,"(230, 430, 20, 20)",
"(120, 300, 40, 40)",rock,,"(250, 430, 20, 20)",
"(200, 20, 40, 80)",rock,,"(750, 350, 20, 20)",
"(200, 140, 40, 40)",rock,,"(330, 490, 20, 20)",
"(200, 520, 40, 40)",rock,,"(710, 50, 20, 20)",
"(200, 640, 40, 40)",river,,"(630, 510, 20, 20)",
"(200, 180, 40, 120)",river,,,
"(200, 340, 40, 80)",rock,,,
"(200, 700, 40, 40)",river,,,
"(200, 560, 40, 80)",rock,,,
"(280, 700, 40, 40)",rock,,,
"(280, 100, 40, 40)",river,,,
"(280, 380, 40, 40)",river,,,
"(280, 260, 40, 40)",river,,,
"(280, 300, 40, 80)",rock,,,
"(280, 560, 40, 80)",rock,,,
"(280, 520, 40, 40)",river,,,
"(280, 220, 40, 40)",rock,,,
"(360, 620, 40, 80)",river,,,
"(360, 60, 40, 80)",river,,,
"(360, 140, 40, 40)",river,,,
"(360, 480, 40, 40)",rock,,,
"(360, 420, 40, 40)",rock,,,
"(360, 240, 40, 80)",river,,,
"(360, 340, 40, 80)",rock,,,
"(360, 540, 40, 80)",river,,,
"(440, 200, 40, 40)",river,,,
"(440, 480, 40, 80)",rock,,,
"(440, 680, 40, 80)",river,,,
"(440, 40, 40, 120)",river,,,
"(440, 340, 40, 80)",rock,,,
"(440, 560, 40, 40)",river,,,
"(440, 640, 40, 40)",river,,,
"(440, 440, 40, 40)",river,,,
"(520, 200, 40, 120)",river,,,
"(520, 680, 40, 80)",rock,,,
"(520, 380, 40, 80)",rock,,,
"(520, 580, 40, 40)",river,,,
"(520, 480, 40, 40)",rock,,,
"(520, 120, 40, 80)",river,,,
"(520, 340, 40, 40)",river,,,
"(520, 80, 40, 40)",river,,,
"(600, 620, 40, 40)",river,,,
"(600, 660, 40, 80)",rock,,,
"(600, 140, 40, 40)",rock,,,
"(600, 560, 40, 40)",rock,,,
"(600, 360, 40, 40)",river,,,
"(600, 60, 40, 80)",rock,,,
"(600, 320, 40, 40)",river,,,
"(600, 20, 40, 40)",river,,,
"(680, 580, 40, 40)",rock,,,
"(680, 100, 40, 80)",river,,,
"(680, 260, 40, 40)",rock,,,
"(680, 380, 40, 80)",rock,,,
"(680, 460, 40, 80)",rock,,,
"(680, 640, 40, 40)",rock,,,
"(680, 320, 40, 40)",rock,,,
"(680, 700, 40, 40)",river,,,
"(760, 80, 40, 40)",river,,,
"(760, 520, 40, 80)",river,,,
"(760, 140, 40, 80)",river,,,
"(760, 700, 40, 40)",river,,,
"(760, 20, 40, 40)",river,,,
"(760, 400, 40, 40)",rock,,,
"(760, 440, 40, 40)",river,,,
"(760, 240, 40, 40)",river,,,
"(840, 180, 40, 40)",rock,,,
"(840, 300, 40, 40)",river,,,
"(840, 380, 40, 120)",river,,,
"(840, 20, 40, 40)",rock,,,
"(840, 660, 40, 40)",rock,,,
"(840, 500, 40, 80)",river,,,
"(840, 580, 40, 40)",river,,,
"(840, 240, 40, 40)",river,,,
