obstacle,obstacle_type,treasure,fragment,difficulty
"(200, 320, 120, 240)",river,"(730, 450, 40, 20)","(770, 450, 20, 20)",2.0
"(200, 140, 120, 120)",river,"(390, 90, 40, 20)","(610, 530, 20, 20)",
"(200, 560, 120, 120)",river,,"(470, 530, 20, 20)",
"(200, 700, 120, 240)",rock,,"(710, 510, 20, 20)",
"(360, 220, 120, 240)",rock,,"(530, 490, 20, 20)",
"(360, 560, 120, 240)",rock,,"(650, 610, 20, 20)",
"(520, 680, 120, 240)",rock,,,
"(520, 240, 120, 240)",rock,,,
"(520, 0, 120, 120)",river,,,
"(680, 640, 120, 240)",rock,,,
"(680, 0, 120, 240)",river,,,
"(680, 300, 120, 120)",rock,,,
"(840, 700, 120, 360)",river,,,
"(840, 160, 120, 360)",river,,,
