obstacle,obstacle_type,treasure,fragment,difficulty
"(200, 160, 120, 120)",rock,"(290, 90, 40, 20)","(570, 450, 20, 20)",2.0
"(200, 680, 120, 120)",river,"(370, 370, 40, 20)","(730, 310, 20, 20)",
"(200, 360, 120, 240)",river,,"(490, 410, 20, 20)",
"(360, 580, 120, 240)",rock,,"(470, 330, 20, 20)",
"(360, 40, 120, 240)",rock,,"(330, 290, 20, 20)",
"(520, 500, 120, 360)",river,,"(450, 370, 20, 20)",
"(520, 80, 120, 240)",rock,,,
"(680, 420, 120, 240)",rock,,,
"(680, 0, 120, 120)",rock,,,
"(680, 160, 120, 120)",river,,,
"(840, 600, 120, 240)",river,,,
"(840, 240, 120, 240)",river,,,
"(840, 100, 120, 120)",rock,,,
