obstacle,obstacle_type,treasure,fragment,difficulty
"(120, 220, 40, 40)",rock,"(190, 770, 40, 20)","(330, 610, 20, 20)",4.0
"(120, 120, 40, 80)",rock,"(230, 750, 40, 20)","(410, 470, 20, 20)",
"(120, 620, 40, 40)",rock,"(610, 150, 40, 20)","(190, 710, 20, 20)",
"(120, 360, 40, 40)",rock,"(150, 770, 40, 20)","(630, 730, 20, 20)",
"(120, 680, 40, 40)",rock,,"(650, 710, 20, 20)",
"(120, 260, 40, 80)",rock,,"(570, 50, 20, 20)",
"(120, 540, 40, 80)",rock,,"(330, 690, 20, 20)",
"(120, 400, 40, 80)",rock,,"(370, 50, 20, 20)",
"(200, 520, 40, 40)",rock,,"(530, 730, 20, 20)",
"(200, 420, 40, 80)",rock,,"(290, 770, 20, 20)",
"(200, 240, 40, 40)",rock,,"(250, 730, 20, 20)",
"(200, 580, 40, 120)",river,,"(550, 410, 20, 20)",
"(200, 380, 40, 40)",rock,,,
"(200, 0, 40, 80)",rock,,,
"(200, 300, 40, 80)",rock,,,
"(200, 200, 40, 40)",rock,,,
"(280, 20, 40, 120)",river,,,
"(280, 360, 40, 80)",rock,,,
"(280, 640, 40, 40)",rock,,,
"(280, 140, 40, 80)",river,,,
"(280, 220, 40, 80)",river,,,
"(280, 440, 40, 40)",rock,,,
"(280, 560, 40, 80)",rock,,,
"(280, 320, 40, 40)",rock,,,
"(360, 260, 40, 80)",river,,,
"(360, 360, 40, 80)",rock,,,
"(360, 500, 40, 80)",rock,,,
"(360, 640, 40, 40)",rock,,,
"(360, 80, 40, 80)",river,,,
"(360, 440, 40, 40)",rock,,,
"(360, 680, 40, 120)",river,,,
"(360, 160, 40, 40)",rock,,,
"(440, 540, 40, 120)",river,,,
"(440, 260, 40, 80)",rock,,,
"(440, 200, 40, 40)",rock,,,
"(440, 60, 40, 40)",rock,,,
"(440, 100, 40, 40)",river,,,
"(440, 460, 40, 80)",river,,,
"(440, 660, 40, 120)",river,,,
"(440, 340, 40, 120)",river,,,
"(520, 340, 40, 40)",rock,,,
"(520, 520, 40, 40)",rock,,,
"(520, 80, 40, 40)",rock,,,
"(520, 120, 40, 40)",rock,,,
"(520, 180, 40, 80)",rock,,,
"(520, 20, 40, 40)",river,,,
"(520, 440, 40, 80)",rock,,,
"(520, 620, 40, 40)",river,,,
"(600, 640, 40, 80)",rock,,,
"(600, 180, 40, 80)",river,,,
"(600, 60, 40, 80)",rock,,,
"(600, 600, 40, 40)",river,,,
"(600, 260, 40, 120)",river,,,
"(600, 20, 40, 40)",rock,,,
"(600, 420, 40, 40)",rock,,,
"(600, 480, 40, 40)",rock,,,
"(680, 180, 40, 80)",river,,,
"(680, 20, 40, 80)",river,,,
"(680, 420, 40, 80)",river,,,
"(680, 120, 40, 40)",river,,,
"(680, 560, 40, 40)",river,,,
"(680, 320, 40, 40)",river,,,
"(680, 500, 40, 40)",rock,,,
"(680, 620, 40, 80)",rock,,,
"(760, 540, 40, 40)",rock,,,
"(760, 220, 40, 40)",river,,,
"(760, 280, 40, 80)",rock,,,
"(760, 40, 40, 40)",river,,,
"(760, 680, 40, 80)",rock,,,
"(760, 420, 40, 40)",rock,,,
"(760, 580, 40, 80)",rock,,,
"(760, 180, 40, 40)",rock,,,
"(840, 100, 40, 80)",river,,,
"(840, 220, 40, 40)",rock,,,
"(840, 280, 40, 80)",river,,,
"(840, 620, 40, 120)",river,,,
"(840, 360, 40, 80)",rock,,,
"(840, 580, 40, 40)",rock,,,
"(840, 0, 40, 40)",river,,,
"(840, 520, 40, 40)",river,,,
