obstacle,obstacle_type,treasure,fragment,difficulty
"(120, 580, 40, 80)",rock,"(390, 90, 40, 20)","(190, 470, 20, 20)",4.0
"(120, 120, 40, 80)",rock,"(570, 370, 40, 20)","(490, 510, 20, 20)",
"(120, 440, 40, 120)",river,"(170, 410, 40, 20)","(650, 470, 20, 20)",
"(120, 280, 40, 80)",rock,"(350, 150, 40, 20)","(650, 670, 20, 20)",
"(120, 0, 40, 80)",rock,,"(330, 690, 20, 20)",
"(120, 240, 40, 40)",river,,"(570, 250, 20, 20)",
"(120, 700, 40, 80)",rock,,"(770, 750, 20, 20)",
"(120, 660, 40, 40)",river,,"(170, 310, 20, 20)",
"(200, 360, 40, 40)",river,,"(650, 50, 20, 20)",
"(200, 280, 40, 40)",river,,"(570, 270, 20, 20)",
"(200, 600, 40, 80)",rock,,"(570, 570, 20, 20)",
"(200, 0, 40, 120)",river,,"(770, 730, 20, 20)",
"(200, 140, 40, 40)",river,,,
"(200, 700, 40, 40)",rock,,,
"(200, 500, 40, 40)",rock,,,
"(200, 220, 40, 40)",rock,,,
"(280, 480, 40, 120)",river,,,
"(280, 280, 40, 80)",rock,,,
"(280, 380, 40, 40)",rock,,,
"(280, 140, 40, 80)",rock,,,
"(280, 60, 40, 80)",rock,,,
"(280, 620, 40, 120)",river,,,
"(280, 20, 40, 40)",river,,,
"(280, 440, 40, 40)",rock,,,
"(360, 580, 40, 40)",rock,,,
"(360, 0, 40, 80)",river,,,
"(360, 300, 40, 80)",river,,,
"(360, 640, 40, 80)",river,,,
"(360, 180, 40, 80)",rock,,,
"(360, 420, 40, 40)",river,,,
"(360, 480, 40, 40)",rock,,,
"(360, 540, 40, 40)",river,,,
"(440, 120, 40, 40)",river,,,
"(440, 300, 40, 40)",rock,,,
"(440, 480, 40, 80)",rock,,,
"(440, 660, 40, 40)",rock,,,
"(440, 40, 40, 80)",river,,,
"(440, 200, 40, 40)",river,,,
"(440, 380, 40, 80)",rock,,,
"(440, 700, 40, 40)",rock,,,
"(520, 140, 40, 120)",river,,,
"(520, 680, 40, 80)",river,,,
"(520, 440, 40, 40)",river,,,
"(520, 560, 40, 40)",rock,,,
"(520, 480, 40, 40)",river,,,
"(520, 520, 40, 40)",river,,,
"(520, 600, 40, 40)",river,,,
"(520, 360, 40, 40)",river,,,
"(600, 520, 40, 80)",rock,,,
"(600, 100, 40, 80)",rock,,,
"(600, 600, 40, 80)",rock,,,
"(600, 420, 40, 80)",rock,,,
"(600, 200, 40, 40)",river,,,
"(600, 240, 40, 80)",rock,,,
"(600, 320, 40, 40)",rock,,,
"(600, 700, 40, 40)",rock,,,
"(680, 140, 40, 40)",rock,,,
"(680, 440, 40, 80)",rock,,,
"(680, 340, 40, 40)",river,,,
"(680, 600, 40, 120)",river,,,
"(680, 260, 40, 40)",river,,,
"(680, 300, 40, 40)",rock,,,
"(680, 520, 40, 40)",rock,,,
"(680, 60, 40, 80)",rock,,,
"(760, 0, 40, 40)",river,,,
"(760, 460, 40, 40)",rock,,,
"(760, 120, 40, 80)",rock,,,
"(760, 280, 40, 40)",rock,,,
"(760, 620, 40, 80)",rock,,,
"(760, 520, 40, 40)",rock,,,
"(760, 360, 40, 80)",river,,,
"(760, 220, 40, 40)",rock,,,
"(840, 100, 40, 40)",river,,,
"(840, 220, 40, 80)",rock,,,
"(840, 500, 40, 40)",rock,,,
"(840, 400, 40, 80)",rock,,,
"(840, 300, 40, 40)",rock,,,
"(840, 140, 40, 40)",rock,,,
"(840, 0, 40, 80)",river,,,
"(840, 620, 40, 40)",rock,,,
