obstacle,obstacle_type,treasure,fragment,difficulty
"(200, 320, 120, 240)",rock,"(530, 610, 40, 20)","(730, 190, 20, 20)",2.0
"(200, 580, 120, 360)",river,"(230, 290, 40, 20)","(570, 610, 20, 20)",
"(360, 40, 120, 240)",rock,,"(470, 290, 20, 20)",
"(360, 380, 120, 240)",river,,"(410, 350, 20, 20)",
"(360, 620, 120, 240)",river,,"(730, 230, 20, 20)",
"(520, 100, 120, 360)",river,,"(290, 290, 20, 20)",
"(680, 20, 120, 120)",rock,,,
"(680, 260, 120, 360)",river,,,
"(840, 360, 120, 240)",river,,,
"(840, 640, 120, 240)",rock,,,
"(840, 220, 120, 120)",rock,,,
