obstacle,obstacle_type,treasure,fragment,difficulty
"(120, 20, 40, 80)",rock,"(390, 750, 40, 20)","(170, 610, 20, 20)",4.0
"(120, 440, 40, 40)",river,"(270, 490, 40, 20)","(450, 730, 20, 20)",
"(120, 640, 40, 40)",rock,"(210, 730, 40, 20)","(630, 450, 20, 20)",
"(120, 560, 40, 80)",rock,"(230, 390, 40, 20)","(450, 750, 20, 20)",
"(120, 200, 40, 80)",river,,"(430, 710, 20, 20)",
"(120, 160, 40, 40)",rock,,"(470, 750, 20, 20)",
"(120, 340, 40, 80)",rock,,"(150, 770, 20, 20)",
"(120, 700, 40, 40)",rock,,"(330, 550, 20, 20)",
"(200, 600, 40, 120)",river,,"(250, 310, 20, 20)",
"(200, 60, 40, 80)",river,,"(570, 490, 20, 20)",
"(200, 540, 40, 40)",river,,"(330, 290, 20, 20)",
"(200, 260, 40, 80)",rock,,"(490, 70, 20, 20)",
"(200, 440, 40, 80)",rock,,,
"(200, 340, 40, 40)",rock,,,
"(200, 140, 40, 120)",river,,,
"(200, 20, 40, 40)",rock,,,
"(280, 400, 40, 80)",rock,,,
"(280, 240, 40, 120)",river,,,
"(280, 60, 40, 120)",river,,,
"(280, 200, 40, 40)",rock,,,
"(280, 660, 40, 40)",river,,,
"(280, 20, 40, 40)",river,,,
"(280, 600, 40, 40)",river,,,
"(280, 700, 40, 80)",rock,,,
"(360, 480, 40, 40)",rock,,,
"(360, 200, 40, 80)",rock,,,
"(360, 160, 40, 40)",rock,,,
"(360, 40, 40, 40)",rock,,,
"(360, 400, 40, 80)",river,,,
"(360, 560, 40, 40)",rock,,,
"(360, 700, 40, 40)",river,,,
"(360, 300, 40, 80)",rock,,,
"(440, 360, 40, 80)",river,,,
"(440, 500, 40, 120)",river,,,
"(440, 140, 40, 80)",rock,,,
"(440, 660, 40, 40)",rock,,,
"(440, 280, 40, 40)",rock,,,
"(440, 20, 40, 40)",rock,,,
"(440, 320, 40, 40)",river,,,
"(440, 60, 40, 80)",river,,,
"(520, 140, 40, 80)",rock,,,
"(520, 540, 40, 80)",river,,,
"(520, 400, 40, 40)",river,,,
"(520, 280, 40, 80)",rock,,,
"(520, 480, 40, 40)",rock,,,
"(520, 640, 40, 80)",river,,,
"(520, 60, 40, 40)",river,,,
"(520, 220, 40, 40)",rock,,,
"(600, 300, 40, 40)",river,,,
"(600, 80, 40, 40)",rock,,,
"(600, 520, 40, 40)",river,,,
"(600, 480, 40, 40)",rock,,,
"(600, 640, 40, 80)",rock,,,
"(600, 120, 40, 40)",river,,,
"(600, 560, 40, 80)",rock,,,
"(600, 360, 40, 80)",rock,,,
"(680, 300, 40, 120)",river,,,
"(680, 600, 40, 40)",rock,,,
"(680, 100, 40, 120)",river,,,
"(680, 60, 40, 40)",river,,,
"(680, 500, 40, 40)",river,,,
"(680, 260, 40, 40)",rock,,,
"(680, 680, 40, 80)",rock,,,
"(680, 420, 40, 40)",rock,,,
"(760, 480, 40, 120)",river,,,
"(760, 80, 40, 80)",river,,,
"(760, 400, 40, 80)",rock,,,
"(760, 260, 40, 120)",river,,,
"(760, 600, 40, 80)",rock,,,
"(760, 160, 40, 40)",river,,,
"(760, 700, 40, 120)",river,,,
"(760, 40, 40, 40)",rock,,,
"(840, 580, 40, 40)",river,,,
"(840, 20, 40, 120)",river,,,
"(840, 180, 40, 40)",river,,,
"(840, 520, 40, 40)",rock,,,
"(840, 480, 40, 40)",rock,,,
"(840, 280, 40, 40)",river,,,
"(840, 440, 40, 40)",rock,,,
"(840, 660, 40, 40)",rock,,,
