obstacle,obstacle_type,treasure,fragment,difficulty
"(120, 120, 40, 120)",river,"(510, 670, 40, 20)","(690, 530, 20, 20)",4.0
"(120, 0, 40, 80)",river,"(230, 590, 40, 20)","(170, 410, 20, 20)",
"(120, 80, 40, 40)",rock,"(210, 530, 40, 20)","(290, 250, 20, 20)",
"(120, 440, 40, 40)",rock,"(470, 670, 40, 20)","(350, 290, 20, 20)",
"(120, 660, 40, 80)",river,,"(550, 510, 20, 20)",
"(120, 240, 40, 40)",rock,,"(250, 470, 20, 20)",
"(120, 320, 40, 80)",river,,"(330, 270, 20, 20)",
"(120, 480, 40, 80)",rock,,"(210, 50, 20, 20)",
"(200, 620, 40, 80)",river,,"(570, 390, 20, 20)",
"(200, 200, 40, 40)",river,,"(570, 230, 20, 20)",
"(200, 240, 40, 80)",rock,,"(490, 650, 20, 20)",
"(200, 340, 40, 80)",rock,,"(250, 450, 20, 20)",
"(200, 700, 40, 40)",rock,,,
"(200, 100, 40, 40)",river,,,
"(200, 420, 40, 40)",rock,,,
"(200, 460, 40, 40)",rock,,,
"(280, 580, 40, 40)",rock,,,
"(280, 280, 40, 80)",river,,,
"(280, 200, 40, 40)",rock,,,
"(280, 160, 40, 40)",river,,,
"(280, 100, 40, 40)",rock,,,
"(280, 500, 40, 80)",rock,,,
"(280, 360, 40, 120)",river,,,
"(280, 620, 40, 40)",river,,,
"(360, 560, 40, 120)",river,,,
"(360, 40, 40, 80)",rock,,,
"(360, 360, 40, 40)",river,,,
"(360, 680, 40, 120)",river,,,
"(360, 480, 40, 40)",river,,,
"(360, 440, 40, 40)",river,,,
"(360, 320, 40, 40)",rock,,,
"(360, 180, 40, 40)",rock,,,
"(440, 540, 40, 80)",river,,,
"(440, 120, 40, 40)",rock,,,
"(440, 320, 40, 40)",rock,,,
"(440, 480, 40, 40)",river,,,
"(440, 280, 40, 40)",rock,,,
"(440, 40, 40, 40)",rock,,,
"(440, 700, 40, 80)",rock,,,
"(440, 180, 40, 80)",rock,,,
"(520, 120, 40, 80)",river,,,
"(520, 440, 40, 40)",river,,,
"(520, 560, 40, 80)",rock,,,
"(520, 300, 40, 80)",rock,,,
"(520, 60, 40, 40)",rock,,,
"(520, 380, 40, 40)",river,,,
"(520, 700, 40, 40)",river,,,
"(520, 220, 40, 40)",river,,,
"(600, 680, 40, 80)",rock,,,
"(600, 380, 40, 80)",river,,,
"(600, 460, 40, 80)",rock,,,
"(600, 600, 40, 80)",rock,,,
"(600, 320, 40, 40)",rock,,,
"(600, 160, 40, 40)",rock,,,
"(600, 200, 40, 40)",rock,,,
"(600, 540, 40, 40)",rock,,,
"(680, 180, 40, 120)",river,,,
"(680, 360, 40, 40)",rock,,,
"(680, 560, 40, 80)",river,,,
"(680, 140, 40, 40)",river,,,
"(680, 20, 40, 120)",river,,,
"(680, 680, 40, 120)",river,,,
"(680, 480, 40, 40)",rock,,,
"(680, 400, 40, 40)",river,,,
"(760, 520, 40, 40)",rock,,,
"(760, 280, 40, 80)",rock,,,
"(760, 600, 40, 40)",rock,,,
"(760, 40, 40, 120)",river,,,
"(760, 200, 40, 40)",rock,,,
"(760, 700, 40, 120)",river,,,
"(760, 380, 40, 80)",rock,,,
"(760, 160, 40, 40)",river,,,
"(840, 400, 40, 80)",rock,,,
"(840, 340, 40, 40)",river,,,
"(840, 600, 40, 120)",river,,,
"(840, 0, 40, 40)",river,,,
"(840, 520, 40, 40)",rock,,,
"(840, 260, 40, 80)",river,,,
"(840, 80, 40, 40)",river,,,
"(840, 140, 40, 40)",river,,,
