obstacle,obstacle_type,treasure,fragment,difficulty
"(120, 40, 40, 40)",river,"(550, 50, 40, 20)","(190, 70, 20, 20)",4.0
"(120, 220, 40, 40)",rock,"(330, 470, 40, 20)","(330, 70, 20, 20)",
"(120, 700, 40, 120)",river,"(470, 550, 40, 20)","(210, 570, 20, 20)",
"(120, 360, 40, 80)",rock,"(670, 210, 40, 20)","(150, 550, 20, 20)",
"(120, 600, 40, 80)",rock,,"(570, 730, 20, 20)",
"(120, 440, 40, 40)",river,,"(650, 90, 20, 20)",
"(120, 480, 40, 40)",river,,"(250, 370, 20, 20)",
"(120, 180, 40, 40)",river,,"(730, 70, 20, 20)",
"(200, 240, 40, 120)",river,,"(650, 710, 20, 20)",
"(200, 500, 40, 40)",rock,,"(570, 750, 20, 20)",
"(200, 680, 40, 120)",river,,"(430, 570, 20, 20)",
"(200, 380, 40, 40)",rock,,"(410, 190, 20, 20)",
"(200, 0, 40, 40)",rock,,,
"(200, 420, 40, 40)",rock,,,
"(200, 120, 40, 80)",river,,,
"(200, 600, 40, 80)",river,,,
"(280, 300, 40, 80)",rock,,,
"(280, 20, 40, 120)",river,,,
"(280, 140, 40, 80)",rock,,,
"(280, 420, 40, 40)",rock,,,
"(280, 260, 40, 40)",rock,,,
"(280, 580, 40, 40)",rock,,,
"(280, 680, 40, 80)",river,,,
"(280, 620, 40, 40)",river,,,
"(360, 20, 40, 120)",river,,,
"(360, 200, 40, 80)",river,,,
"(360, 620, 40, 120)",river,,,
"(360, 320, 40, 120)",river,,,
"(360, 500, 40, 40)",river,,,
"(360, 280, 40, 40)",rock,,,
"(360, 540, 40, 80)",rock,,,
"(360, 160, 40, 40)",river,,,
"(440, 260, 40, 80)",rock,,,
"(440, 140, 40, 40)",rock,,,
"(440, 220, 40, 40)",rock,,,
"(440, 500, 40, 40)",rock,,,
"(440, 700, 40, 120)",river,,,
"(440, 620, 40, 40)",rock,,,
"(440, 340, 40, 80)",river,,,
"(440, 60, 40, 40)",rock,,,
"(520, 500, 40, 40)",river,,,
"(520, 660, 40, 120)",river,,,
"(520, 360, 40, 80)",river,,,
"(520, 280, 40, 40)",rock,,,
"(520, 560, 40, 40)",river,,,
"(520, 100, 40, 40)",rock,,,
"(520, 140, 40, 80)",river,,,
"(520, 600, 40, 40)",river,,,
"(600, 80, 40, 40)",rock,,,
"(600, 300, 40, 120)",river,,,
"(600, 580, 40, 40)",rock,,,
"(600, 20, 40, 40)",river,,,
"(600, 640, 40, 80)",river,,,
"(600, 260, 40, 40)",river,,,
"(600, 220, 40, 40)",river,,,
"(600, 460, 40, 40)",rock,,,
"(680, 60, 40, 120)",river,,,
"(680, 20, 40, 40)",river,,,
"(680, 700, 40, 120)",river,,,
"(680, 360, 40, 40)",rock,,,
"(680, 300, 40, 40)",rock,,,
"(680, 440, 40, 40)",rock,,,
"(680, 560, 40, 120)",river,,,
"(680, 400, 40, 40)",rock,,,
"(760, 220, 40, 80)",river,,,
"(760, 560, 40, 80)",river,,,
"(760, 60, 40, 80)",rock,,,
"(760, 700, 40, 40)",river,,,
"(760, 380, 40, 80)",river,,,
"(760, 640, 40, 40)",river,,,
"(760, 320, 40, 40)",rock,,,
"(760, 140, 40, 80)",river,,,
"(840, 620, 40, 40)",rock,,,
"(840, 520, 40, 80)",rock,,,
"(840, 160, 40, 120)",river,,,
"(840, 0, 40, 80)",rock,,,
"(840, 680, 40, 80)",rock,,,
"(840, 480, 40, 40)",rock,,,
"(840, 100, 40, 40)",rock,,,
"(840, 400, 40, 40)",river,,,
