obstacle,obstacle_type,treasure,fragment,difficulty
"(200, 260, 120, 120)",rock,"(630, 50, 40, 20)","(330, 130, 20, 20)",2.0
"(200, 420, 120, 120)",river,"(310, 210, 40, 20)","(550, 190, 20, 20)",
"(200, 640, 120, 240)",river,,"(390, 530, 20, 20)",
"(360, 620, 120, 240)",rock,,"(770, 290, 20, 20)",
"(360, 0, 120, 360)",river,,"(290, 170, 20, 20)",
"(520, 280, 120, 240)",river,,"(590, 230, 20, 20)",
"(520, 680, 120, 360)",river,,,
"(520, 520, 120, 120)",river,,,
"(680, 120, 120, 120)",rock,,,
"(680, 340, 120, 360)",river,,,
"(680, 700, 120, 360)",river,,,
"(680, 0, 120, 120)",rock,,,
"(840, 100, 120, 120)",rock,,,
"(840, 380, 120, 120)",river,,,
"(840, 500, 120, 240)",river,,,
